#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   367   0.211551E+04   0.632986E+02   0.336175E-04   0.632986E+02   0.202430E+02   0.126210E-05   0.336175E-04   0.126210E-05   0.291809E-07
   368   0.209675E+04   0.614890E+02   0.332957E-04   0.614890E+02   0.203460E+02   0.126119E-05   0.332957E-04   0.126119E-05   0.290817E-07
   369   0.207841E+04   0.596639E+02   0.329762E-04   0.596639E+02   0.204459E+02   0.126025E-05   0.329762E-04   0.126025E-05   0.289829E-07
   370   0.206053E+04   0.578239E+02   0.326588E-04   0.578239E+02   0.205422E+02   0.125931E-05   0.326588E-04   0.125931E-05   0.288847E-07
   371   0.204307E+04   0.559700E+02   0.323434E-04   0.559700E+02   0.206353E+02   0.125839E-05   0.323434E-04   0.125839E-05   0.287869E-07
   372   0.202606E+04   0.541027E+02   0.320300E-04   0.541027E+02   0.207248E+02   0.125750E-05   0.320300E-04   0.125750E-05   0.286895E-07
   373   0.200949E+04   0.522230E+02   0.317184E-04   0.522230E+02   0.208108E+02   0.125665E-05   0.317184E-04   0.125665E-05   0.285927E-07
   374   0.199336E+04   0.503317E+02   0.314085E-04   0.503317E+02   0.208934E+02   0.125586E-05   0.314085E-04   0.125586E-05   0.284962E-07
   375   0.197767E+04   0.484292E+02   0.311002E-04   0.484292E+02   0.209724E+02   0.125514E-05   0.311002E-04   0.125514E-05   0.284003E-07
   376   0.196243E+04   0.465167E+02   0.307934E-04   0.465167E+02   0.210478E+02   0.125452E-05   0.307934E-04   0.125452E-05   0.283048E-07
   377   0.194763E+04   0.445946E+02   0.304881E-04   0.445946E+02   0.211195E+02   0.125399E-05   0.304881E-04   0.125399E-05   0.282098E-07
   378   0.193328E+04   0.426637E+02   0.301840E-04   0.426637E+02   0.211876E+02   0.125359E-05   0.301840E-04   0.125359E-05   0.281152E-07
   379   0.191938E+04   0.407250E+02   0.298812E-04   0.407250E+02   0.212518E+02   0.125332E-05   0.298812E-04   0.125332E-05   0.280211E-07
   380   0.190594E+04   0.387790E+02   0.295795E-04   0.387790E+02   0.213122E+02   0.125321E-05   0.295795E-04   0.125321E-05   0.279274E-07
   381   0.189294E+04   0.368265E+02   0.292788E-04   0.368265E+02   0.213689E+02   0.125325E-05   0.292788E-04   0.125325E-05   0.278341E-07
   382   0.188039E+04   0.348683E+02   0.289791E-04   0.348683E+02   0.214215E+02   0.125348E-05   0.289791E-04   0.125348E-05   0.277413E-07
   383   0.186829E+04   0.329053E+02   0.286801E-04   0.329053E+02   0.214704E+02   0.125390E-05   0.286801E-04   0.125390E-05   0.276490E-07
   384   0.185665E+04   0.309383E+02   0.283819E-04   0.309383E+02   0.215153E+02   0.125454E-05   0.283819E-04   0.125454E-05   0.275570E-07
   385   0.184544E+04   0.289680E+02   0.280842E-04   0.289680E+02   0.215563E+02   0.125540E-05   0.280842E-04   0.125540E-05   0.274655E-07
   386   0.183469E+04   0.269955E+02   0.277871E-04   0.269955E+02   0.215934E+02   0.125650E-05   0.277871E-04   0.125650E-05   0.273745E-07
   387   0.182440E+04   0.250214E+02   0.274904E-04   0.250214E+02   0.216265E+02   0.125786E-05   0.274904E-04   0.125786E-05   0.272838E-07
   388   0.181454E+04   0.230467E+02   0.271940E-04   0.230467E+02   0.216558E+02   0.125949E-05   0.271940E-04   0.125949E-05   0.271936E-07
   389   0.180512E+04   0.210722E+02   0.268978E-04   0.210722E+02   0.216812E+02   0.126140E-05   0.268978E-04   0.126140E-05   0.271037E-07
   390   0.179616E+04   0.190987E+02   0.266017E-04   0.190987E+02   0.217026E+02   0.126362E-05   0.266017E-04   0.126362E-05   0.270143E-07
   391   0.178763E+04   0.171270E+02   0.263056E-04   0.171270E+02   0.217201E+02   0.126615E-05   0.263056E-04   0.126615E-05   0.269253E-07
   392   0.177954E+04   0.151580E+02   0.260094E-04   0.151580E+02   0.217336E+02   0.126901E-05   0.260094E-04   0.126901E-05   0.268368E-07
   393   0.177190E+04   0.131923E+02   0.257130E-04   0.131923E+02   0.217431E+02   0.127223E-05   0.257130E-04   0.127223E-05   0.267486E-07
   394   0.176469E+04   0.112308E+02   0.254163E-04   0.112308E+02   0.217487E+02   0.127580E-05   0.254163E-04   0.127580E-05   0.266608E-07
   395   0.175790E+04   0.927434E+01   0.251192E-04   0.927434E+01   0.217501E+02   0.127975E-05   0.251192E-04   0.127975E-05   0.265734E-07
   396   0.175155E+04   0.732363E+01   0.248216E-04   0.732363E+01   0.217476E+02   0.128409E-05   0.248216E-04   0.128409E-05   0.264864E-07
   397   0.174562E+04   0.537950E+01   0.245233E-04   0.537950E+01   0.217410E+02   0.128885E-05   0.245233E-04   0.128885E-05   0.263998E-07
   398   0.174012E+04   0.344268E+01   0.242244E-04   0.344268E+01   0.217304E+02   0.129402E-05   0.242244E-04   0.129402E-05   0.263136E-07
   399   0.173505E+04   0.151398E+01   0.239247E-04   0.151398E+01   0.217157E+02   0.129963E-05   0.239247E-04   0.129963E-05   0.262278E-07
   400   0.173040E+04  -0.405829E+00   0.236241E-04  -0.405829E+00   0.216971E+02   0.130570E-05   0.236241E-04   0.130570E-05   0.261424E-07
   401   0.172617E+04  -0.231599E+01   0.233225E-04  -0.231599E+01   0.216744E+02   0.131222E-05   0.233225E-04   0.131222E-05   0.260573E-07
   402   0.172236E+04  -0.421573E+01   0.230200E-04  -0.421573E+01   0.216476E+02   0.131919E-05   0.230200E-04   0.131919E-05   0.259726E-07
   403   0.171897E+04  -0.610428E+01   0.227167E-04  -0.610428E+01   0.216170E+02   0.132658E-05   0.227167E-04   0.132658E-05   0.258883E-07
   404   0.171599E+04  -0.798085E+01   0.224128E-04  -0.798085E+01   0.215823E+02   0.133435E-05   0.224128E-04   0.133435E-05   0.258044E-07
   405   0.171341E+04  -0.984468E+01   0.221083E-04  -0.984468E+01   0.215436E+02   0.134249E-05   0.221083E-04   0.134249E-05   0.257208E-07
   406   0.171123E+04  -0.116951E+02   0.218034E-04  -0.116951E+02   0.215010E+02   0.135096E-05   0.218034E-04   0.135096E-05   0.256376E-07
   407   0.170946E+04  -0.135312E+02   0.214981E-04  -0.135312E+02   0.214545E+02   0.135975E-05   0.214981E-04   0.135975E-05   0.255548E-07
   408   0.170808E+04  -0.153522E+02   0.211926E-04  -0.153522E+02   0.214040E+02   0.136882E-05   0.211926E-04   0.136882E-05   0.254724E-07
   409   0.170708E+04  -0.171574E+02   0.208871E-04  -0.171574E+02   0.213497E+02   0.137815E-05   0.208871E-04   0.137815E-05   0.253903E-07
   410   0.170647E+04  -0.189461E+02   0.205815E-04  -0.189461E+02   0.212916E+02   0.138771E-05   0.205815E-04   0.138771E-05   0.253085E-07
   411   0.170622E+04  -0.207175E+02   0.202761E-04  -0.207175E+02   0.212295E+02   0.139747E-05   0.202761E-04   0.139747E-05   0.252272E-07
   412   0.170636E+04  -0.224711E+02   0.199709E-04  -0.224711E+02   0.211637E+02   0.140742E-05   0.199709E-04   0.140742E-05   0.251462E-07
   413   0.170687E+04  -0.242062E+02   0.196661E-04  -0.242062E+02   0.210941E+02   0.141752E-05   0.196661E-04   0.141752E-05   0.250655E-07
   414   0.170774E+04  -0.259220E+02   0.193618E-04  -0.259220E+02   0.210208E+02   0.142774E-05   0.193618E-04   0.142774E-05   0.249853E-07
   415   0.170896E+04  -0.276181E+02   0.190580E-04  -0.276181E+02   0.209438E+02   0.143807E-05   0.190580E-04   0.143807E-05   0.249053E-07
   416   0.171054E+04  -0.292938E+02   0.187549E-04  -0.292938E+02   0.208632E+02   0.144848E-05   0.187549E-04   0.144848E-05   0.248258E-07
   417   0.171247E+04  -0.309483E+02   0.184527E-04  -0.309483E+02   0.207789E+02   0.145893E-05   0.184527E-04   0.145893E-05   0.247466E-07
   418   0.171474E+04  -0.325810E+02   0.181514E-04  -0.325810E+02   0.206911E+02   0.146940E-05   0.181514E-04   0.146940E-05   0.246677E-07
   419   0.171735E+04  -0.341913E+02   0.178511E-04  -0.341913E+02   0.205997E+02   0.147987E-05   0.178511E-04   0.147987E-05   0.245892E-07
   420   0.172030E+04  -0.357786E+02   0.175519E-04  -0.357786E+02   0.205048E+02   0.149031E-05   0.175519E-04   0.149031E-05   0.245110E-07
   421   0.172358E+04  -0.373421E+02   0.172541E-04  -0.373421E+02   0.204065E+02   0.150069E-05   0.172541E-04   0.150069E-05   0.244332E-07
   422   0.172718E+04  -0.388811E+02   0.169576E-04  -0.388811E+02   0.203046E+02   0.151099E-05   0.169576E-04   0.151099E-05   0.243557E-07
   423   0.173110E+04  -0.403951E+02   0.166626E-04  -0.403951E+02   0.201993E+02   0.152119E-05   0.166626E-04   0.152119E-05   0.242786E-07
   424   0.173534E+04  -0.418835E+02   0.163693E-04  -0.418835E+02   0.200906E+02   0.153124E-05   0.163693E-04   0.153124E-05   0.242018E-07
   425   0.173988E+04  -0.433456E+02   0.160776E-04  -0.433456E+02   0.199786E+02   0.154114E-05   0.160776E-04   0.154114E-05   0.241253E-07
   426   0.174472E+04  -0.447812E+02   0.157878E-04  -0.447812E+02   0.198633E+02   0.155085E-05   0.157878E-04   0.155085E-05   0.240492E-07
   427   0.174985E+04  -0.461897E+02   0.155000E-04  -0.461897E+02   0.197449E+02   0.156034E-05   0.155000E-04   0.156034E-05   0.239734E-07
   428   0.175528E+04  -0.475707E+02   0.152142E-04  -0.475707E+02   0.196234E+02   0.156960E-05   0.152142E-04   0.156960E-05   0.238980E-07
   429   0.176097E+04  -0.489239E+02   0.149306E-04  -0.489239E+02   0.194989E+02   0.157859E-05   0.149306E-04   0.157859E-05   0.238229E-07
   430   0.176693E+04  -0.502486E+02   0.146492E-04  -0.502486E+02   0.193714E+02   0.158728E-05   0.146492E-04   0.158728E-05   0.237481E-07
   431   0.177316E+04  -0.515445E+02   0.143703E-04  -0.515445E+02   0.192412E+02   0.159566E-05   0.143703E-04   0.159566E-05   0.236736E-07
   432   0.177964E+04  -0.528113E+02   0.140939E-04  -0.528113E+02   0.191082E+02   0.160370E-05   0.140939E-04   0.160370E-05   0.235995E-07
   433   0.178638E+04  -0.540483E+02   0.138202E-04  -0.540483E+02   0.189724E+02   0.161136E-05   0.138202E-04   0.161136E-05   0.235257E-07
   434   0.179336E+04  -0.552551E+02   0.135492E-04  -0.552551E+02   0.188340E+02   0.161862E-05   0.135492E-04   0.161862E-05   0.234522E-07
   435   0.180058E+04  -0.564313E+02   0.132810E-04  -0.564313E+02   0.186929E+02   0.162546E-05   0.132810E-04   0.162546E-05   0.233791E-07
   436   0.180804E+04  -0.575765E+02   0.130158E-04  -0.575765E+02   0.185493E+02   0.163186E-05   0.130158E-04   0.163186E-05   0.233063E-07
   437   0.181573E+04  -0.586902E+02   0.127538E-04  -0.586902E+02   0.184032E+02   0.163777E-05   0.127538E-04   0.163777E-05   0.232337E-07
   438   0.182365E+04  -0.597719E+02   0.124949E-04  -0.597719E+02   0.182547E+02   0.164319E-05   0.124949E-04   0.164319E-05   0.231616E-07
   439   0.183178E+04  -0.608212E+02   0.122393E-04  -0.608212E+02   0.181039E+02   0.164807E-05   0.122393E-04   0.164807E-05   0.230897E-07
   440   0.184013E+04  -0.618380E+02   0.119872E-04  -0.618380E+02   0.179507E+02   0.165240E-05   0.119872E-04   0.165240E-05   0.230181E-07
   441   0.184867E+04  -0.628218E+02   0.117386E-04  -0.628218E+02   0.177954E+02   0.165615E-05   0.117386E-04   0.165615E-05   0.229469E-07
   442   0.185741E+04  -0.637723E+02   0.114937E-04  -0.637723E+02   0.176379E+02   0.165929E-05   0.114937E-04   0.165929E-05   0.228759E-07
   443   0.186632E+04  -0.646891E+02   0.112526E-04  -0.646891E+02   0.174784E+02   0.166180E-05   0.112526E-04   0.166180E-05   0.228053E-07
   444   0.187541E+04  -0.655720E+02   0.110153E-04  -0.655720E+02   0.173170E+02   0.166365E-05   0.110153E-04   0.166365E-05   0.227350E-07
   445   0.188466E+04  -0.664207E+02   0.107820E-04  -0.664207E+02   0.171537E+02   0.166482E-05   0.107820E-04   0.166482E-05   0.226650E-07
   446   0.189407E+04  -0.672348E+02   0.105529E-04  -0.672348E+02   0.169887E+02   0.166527E-05   0.105529E-04   0.166527E-05   0.225953E-07
   447   0.190363E+04  -0.680145E+02   0.103280E-04  -0.680145E+02   0.168219E+02   0.166498E-05   0.103280E-04   0.166498E-05   0.225259E-07
   448   0.191334E+04  -0.687594E+02   0.101074E-04  -0.687594E+02   0.166536E+02   0.166393E-05   0.101074E-04   0.166393E-05   0.224568E-07
   449   0.192319E+04  -0.694694E+02   0.989127E-05  -0.694694E+02   0.164838E+02   0.166209E-05   0.989127E-05   0.166209E-05   0.223880E-07
   450   0.193318E+04  -0.701445E+02   0.967972E-05  -0.701445E+02   0.163126E+02   0.165943E-05   0.967972E-05   0.165943E-05   0.223195E-07
   451   0.194330E+04  -0.707844E+02   0.947282E-05  -0.707844E+02   0.161400E+02   0.165594E-05   0.947282E-05   0.165594E-05   0.222513E-07
   452   0.195355E+04  -0.713891E+02   0.927055E-05  -0.713891E+02   0.159662E+02   0.165162E-05   0.927055E-05   0.165162E-05   0.221834E-07
   453   0.196392E+04  -0.719582E+02   0.907285E-05  -0.719582E+02   0.157913E+02   0.164650E-05   0.907285E-05   0.164650E-05   0.221157E-07
   454   0.197440E+04  -0.724917E+02   0.887965E-05  -0.724917E+02   0.156154E+02   0.164060E-05   0.887965E-05   0.164060E-05   0.220484E-07
   455   0.198497E+04  -0.729893E+02   0.869091E-05  -0.729893E+02   0.154385E+02   0.163394E-05   0.869091E-05   0.163394E-05   0.219814E-07
   456   0.199563E+04  -0.734509E+02   0.850656E-05  -0.734509E+02   0.152607E+02   0.162653E-05   0.850656E-05   0.162653E-05   0.219146E-07
   457   0.200638E+04  -0.738762E+02   0.832655E-05  -0.738762E+02   0.150821E+02   0.161841E-05   0.832655E-05   0.161841E-05   0.218482E-07
   458   0.201719E+04  -0.742650E+02   0.815082E-05  -0.742650E+02   0.149028E+02   0.160958E-05   0.815082E-05   0.160958E-05   0.217820E-07
   459   0.202805E+04  -0.746173E+02   0.797930E-05  -0.746173E+02   0.147230E+02   0.160007E-05   0.797930E-05   0.160007E-05   0.217161E-07
   460   0.203898E+04  -0.749333E+02   0.781195E-05  -0.749333E+02   0.145426E+02   0.158990E-05   0.781195E-05   0.158990E-05   0.216505E-07
   461   0.204995E+04  -0.752122E+02   0.764869E-05  -0.752122E+02   0.143618E+02   0.157909E-05   0.764869E-05   0.157909E-05   0.215852E-07
   462   0.206097E+04  -0.754562E+02   0.748949E-05  -0.754562E+02   0.141807E+02   0.156765E-05   0.748949E-05   0.156765E-05   0.215202E-07
   463   0.207203E+04  -0.756638E+02   0.733427E-05  -0.756638E+02   0.139995E+02   0.155562E-05   0.733427E-05   0.155562E-05   0.214554E-07
   464   0.208314E+04  -0.758358E+02   0.718298E-05  -0.758358E+02   0.138183E+02   0.154301E-05   0.718298E-05   0.154301E-05   0.213910E-07
   465   0.209427E+04  -0.759721E+02   0.703556E-05  -0.759721E+02   0.136371E+02   0.152984E-05   0.703556E-05   0.152984E-05   0.213268E-07
   466   0.210544E+04  -0.760735E+02   0.689195E-05  -0.760735E+02   0.134560E+02   0.151612E-05   0.689195E-05   0.151612E-05   0.212628E-07
   467   0.211663E+04  -0.761393E+02   0.675210E-05  -0.761393E+02   0.132753E+02   0.150189E-05   0.675210E-05   0.150189E-05   0.211992E-07
   468   0.212782E+04  -0.761702E+02   0.661594E-05  -0.761702E+02   0.130949E+02   0.148716E-05   0.661594E-05   0.148716E-05   0.211358E-07
   469   0.213903E+04  -0.761663E+02   0.648342E-05  -0.761663E+02   0.129150E+02   0.147195E-05   0.648342E-05   0.147195E-05   0.210727E-07
   470   0.215022E+04  -0.761274E+02   0.635449E-05  -0.761274E+02   0.127356E+02   0.145628E-05   0.635449E-05   0.145628E-05   0.210099E-07
   471   0.216140E+04  -0.760528E+02   0.622907E-05  -0.760528E+02   0.125569E+02   0.144017E-05   0.622907E-05   0.144017E-05   0.209473E-07
   472   0.217255E+04  -0.759442E+02   0.610712E-05  -0.759442E+02   0.123790E+02   0.142365E-05   0.610712E-05   0.142365E-05   0.208850E-07
   473   0.218367E+04  -0.757999E+02   0.598858E-05  -0.757999E+02   0.122019E+02   0.140673E-05   0.598858E-05   0.140673E-05   0.208230E-07
   474   0.219474E+04  -0.756221E+02   0.587339E-05  -0.756221E+02   0.120257E+02   0.138942E-05   0.587339E-05   0.138942E-05   0.207612E-07
   475   0.220578E+04  -0.754095E+02   0.576148E-05  -0.754095E+02   0.118506E+02   0.137177E-05   0.576148E-05   0.137177E-05   0.206997E-07
   476   0.221677E+04  -0.751627E+02   0.565281E-05  -0.751627E+02   0.116768E+02   0.135377E-05   0.565281E-05   0.135377E-05   0.206384E-07
   477   0.222769E+04  -0.748825E+02   0.554731E-05  -0.748825E+02   0.115041E+02   0.133546E-05   0.554731E-05   0.133546E-05   0.205775E-07
   478   0.223857E+04  -0.745688E+02   0.544493E-05  -0.745688E+02   0.113328E+02   0.131685E-05   0.544493E-05   0.131685E-05   0.205167E-07
   479   0.224940E+04  -0.742228E+02   0.534561E-05  -0.742228E+02   0.111630E+02   0.129796E-05   0.534561E-05   0.129796E-05   0.204563E-07
   480   0.226015E+04  -0.738438E+02   0.524928E-05  -0.738438E+02   0.109948E+02   0.127882E-05   0.524928E-05   0.127882E-05   0.203961E-07
   481   0.227084E+04  -0.734326E+02   0.515590E-05  -0.734326E+02   0.108282E+02   0.125944E-05   0.515590E-05   0.125944E-05   0.203361E-07
   482   0.228144E+04  -0.729895E+02   0.506540E-05  -0.729895E+02   0.106635E+02   0.123984E-05   0.506540E-05   0.123984E-05   0.202764E-07
   483   0.229196E+04  -0.725147E+02   0.497773E-05  -0.725147E+02   0.105006E+02   0.122005E-05   0.497773E-05   0.122005E-05   0.202169E-07
   484   0.230238E+04  -0.720088E+02   0.489282E-05  -0.720088E+02   0.103398E+02   0.120008E-05   0.489282E-05   0.120008E-05   0.201577E-07
   485   0.231269E+04  -0.714720E+02   0.481063E-05  -0.714720E+02   0.101810E+02   0.117996E-05   0.481063E-05   0.117996E-05   0.200988E-07
   486   0.232290E+04  -0.709047E+02   0.473109E-05  -0.709047E+02   0.100243E+02   0.115970E-05   0.473109E-05   0.115970E-05   0.200401E-07
   487   0.233299E+04  -0.703073E+02   0.465414E-05  -0.703073E+02   0.986995E+01   0.113933E-05   0.465414E-05   0.113933E-05   0.199816E-07
   488   0.234295E+04  -0.696802E+02   0.457972E-05  -0.696802E+02   0.971800E+01   0.111887E-05   0.457972E-05   0.111887E-05   0.199234E-07
   489   0.235279E+04  -0.690240E+02   0.450778E-05  -0.690240E+02   0.956844E+01   0.109833E-05   0.450778E-05   0.109833E-05   0.198654E-07
   490   0.236250E+04  -0.683391E+02   0.443827E-05  -0.683391E+02   0.942147E+01   0.107773E-05   0.443827E-05   0.107773E-05   0.198077E-07
   491   0.237207E+04  -0.676262E+02   0.437111E-05  -0.676262E+02   0.927718E+01   0.105710E-05   0.437111E-05   0.105710E-05   0.197502E-07
   492   0.238152E+04  -0.668855E+02   0.430626E-05  -0.668855E+02   0.913557E+01   0.103646E-05   0.430626E-05   0.103646E-05   0.196930E-07
   493   0.239082E+04  -0.661178E+02   0.424365E-05  -0.661178E+02   0.899678E+01   0.101582E-05   0.424365E-05   0.101582E-05   0.196360E-07
   494   0.239999E+04  -0.653234E+02   0.418323E-05  -0.653234E+02   0.886096E+01   0.995216E-06   0.418323E-05   0.995216E-06   0.195792E-07
   495   0.240901E+04  -0.645029E+02   0.412494E-05  -0.645029E+02   0.872819E+01   0.974654E-06   0.412494E-05   0.974654E-06   0.195227E-07
   496   0.241788E+04  -0.636568E+02   0.406872E-05  -0.636568E+02   0.859847E+01   0.954160E-06   0.406872E-05   0.954160E-06   0.194664E-07
   497   0.242658E+04  -0.627857E+02   0.401451E-05  -0.627857E+02   0.847195E+01   0.933753E-06   0.401451E-05   0.933753E-06   0.194103E-07
   498   0.243512E+04  -0.618901E+02   0.396226E-05  -0.618901E+02   0.834869E+01   0.913454E-06   0.396226E-05   0.913454E-06   0.193544E-07
   499   0.244349E+04  -0.609705E+02   0.391190E-05  -0.609705E+02   0.822878E+01   0.893282E-06   0.391190E-05   0.893282E-06   0.192988E-07
   500   0.245168E+04  -0.600275E+02   0.386338E-05  -0.600275E+02   0.811237E+01   0.873259E-06   0.386338E-05   0.873259E-06   0.192434E-07
   501   0.245969E+04  -0.590617E+02   0.381665E-05  -0.590617E+02   0.799944E+01   0.853401E-06   0.381665E-05   0.853401E-06   0.191883E-07
   502   0.246751E+04  -0.580737E+02   0.377169E-05  -0.580737E+02   0.789016E+01   0.833707E-06   0.377169E-05   0.833707E-06   0.191334E-07
   503   0.247514E+04  -0.570641E+02   0.372847E-05  -0.570641E+02   0.778452E+01   0.814176E-06   0.372847E-05   0.814176E-06   0.190787E-07
   504   0.248257E+04  -0.560338E+02   0.368697E-05  -0.560338E+02   0.768274E+01   0.794804E-06   0.368697E-05   0.794804E-06   0.190242E-07
   505   0.248982E+04  -0.549833E+02   0.364719E-05  -0.549833E+02   0.758476E+01   0.775588E-06   0.364719E-05   0.775588E-06   0.189699E-07
   506   0.249686E+04  -0.539134E+02   0.360910E-05  -0.539134E+02   0.749071E+01   0.756524E-06   0.360910E-05   0.756524E-06   0.189159E-07
   507   0.250372E+04  -0.528246E+02   0.357268E-05  -0.528246E+02   0.740069E+01   0.737610E-06   0.357268E-05   0.737610E-06   0.188621E-07
   508   0.251037E+04  -0.517178E+02   0.353792E-05  -0.517178E+02   0.731477E+01   0.718842E-06   0.353792E-05   0.718842E-06   0.188085E-07
   509   0.251681E+04  -0.505936E+02   0.350479E-05  -0.505936E+02   0.723302E+01   0.700217E-06   0.350479E-05   0.700217E-06   0.187551E-07
   510   0.252307E+04  -0.494528E+02   0.347329E-05  -0.494528E+02   0.715549E+01   0.681733E-06   0.347329E-05   0.681733E-06   0.187019E-07
   511   0.252910E+04  -0.482959E+02   0.344339E-05  -0.482959E+02   0.708225E+01   0.663385E-06   0.344339E-05   0.663385E-06   0.186490E-07
   512   0.253494E+04  -0.471237E+02   0.341508E-05  -0.471237E+02   0.701335E+01   0.645171E-06   0.341508E-05   0.645171E-06   0.185963E-07
   513   0.254056E+04  -0.459369E+02   0.338834E-05  -0.459369E+02   0.694888E+01   0.627088E-06   0.338834E-05   0.627088E-06   0.185438E-07
   514   0.254596E+04  -0.447362E+02   0.336314E-05  -0.447362E+02   0.688889E+01   0.609132E-06   0.336314E-05   0.609132E-06   0.184915E-07
   515   0.255115E+04  -0.435222E+02   0.333948E-05  -0.435222E+02   0.683343E+01   0.591300E-06   0.333948E-05   0.591300E-06   0.184394E-07
   516   0.255612E+04  -0.422959E+02   0.331734E-05  -0.422959E+02   0.678257E+01   0.573590E-06   0.331734E-05   0.573590E-06   0.183875E-07
   517   0.256087E+04  -0.410577E+02   0.329669E-05  -0.410577E+02   0.673635E+01   0.555997E-06   0.329669E-05   0.555997E-06   0.183359E-07
   518   0.256539E+04  -0.398085E+02   0.327752E-05  -0.398085E+02   0.669485E+01   0.538519E-06   0.327752E-05   0.538519E-06   0.182845E-07
   519   0.256969E+04  -0.385491E+02   0.325981E-05  -0.385491E+02   0.665810E+01   0.521153E-06   0.325981E-05   0.521153E-06   0.182332E-07
   520   0.257375E+04  -0.372801E+02   0.324354E-05  -0.372801E+02   0.662616E+01   0.503896E-06   0.324354E-05   0.503896E-06   0.181822E-07
   521   0.257757E+04  -0.360024E+02   0.322870E-05  -0.360024E+02   0.659908E+01   0.486744E-06   0.322870E-05   0.486744E-06   0.181314E-07
   522   0.258116E+04  -0.347165E+02   0.321527E-05  -0.347165E+02   0.657692E+01   0.469694E-06   0.321527E-05   0.469694E-06   0.180808E-07
   523   0.258451E+04  -0.334233E+02   0.320323E-05  -0.334233E+02   0.655971E+01   0.452743E-06   0.320323E-05   0.452743E-06   0.180304E-07
   524   0.258762E+04  -0.321236E+02   0.319257E-05  -0.321236E+02   0.654749E+01   0.435888E-06   0.319257E-05   0.435888E-06   0.179802E-07
   525   0.259049E+04  -0.308180E+02   0.318325E-05  -0.308180E+02   0.654028E+01   0.419125E-06   0.318325E-05   0.419125E-06   0.179302E-07
   526   0.259313E+04  -0.295073E+02   0.317528E-05  -0.295073E+02   0.653814E+01   0.402453E-06   0.317528E-05   0.402453E-06   0.178805E-07
   527   0.259554E+04  -0.281923E+02   0.316863E-05  -0.281923E+02   0.654108E+01   0.385867E-06   0.316863E-05   0.385867E-06   0.178309E-07
   528   0.259770E+04  -0.268736E+02   0.316327E-05  -0.268736E+02   0.654914E+01   0.369364E-06   0.316327E-05   0.369364E-06   0.177815E-07
   529   0.259963E+04  -0.255520E+02   0.315920E-05  -0.255520E+02   0.656236E+01   0.352941E-06   0.315920E-05   0.352941E-06   0.177323E-07
   530   0.260132E+04  -0.242284E+02   0.315640E-05  -0.242284E+02   0.658075E+01   0.336595E-06   0.315640E-05   0.336595E-06   0.176834E-07
   531   0.260277E+04  -0.229035E+02   0.315485E-05  -0.229035E+02   0.660434E+01   0.320323E-06   0.315485E-05   0.320323E-06   0.176346E-07
   532   0.260399E+04  -0.215783E+02   0.315453E-05  -0.215783E+02   0.663315E+01   0.304122E-06   0.315453E-05   0.304122E-06   0.175860E-07
   533   0.260497E+04  -0.202532E+02   0.315542E-05  -0.202532E+02   0.666720E+01   0.287988E-06   0.315542E-05   0.287988E-06   0.175377E-07
   534   0.260571E+04  -0.189294E+02   0.315751E-05  -0.189294E+02   0.670651E+01   0.271918E-06   0.315751E-05   0.271918E-06   0.174895E-07
   535   0.260622E+04  -0.176074E+02   0.316077E-05  -0.176074E+02   0.675111E+01   0.255910E-06   0.316077E-05   0.255910E-06   0.174415E-07
   536   0.260648E+04  -0.162883E+02   0.316520E-05  -0.162883E+02   0.680100E+01   0.239960E-06   0.316520E-05   0.239960E-06   0.173937E-07
   537   0.260651E+04  -0.149726E+02   0.317076E-05  -0.149726E+02   0.685620E+01   0.224065E-06   0.317076E-05   0.224065E-06   0.173462E-07
   538   0.260631E+04  -0.136612E+02   0.317746E-05  -0.136612E+02   0.691672E+01   0.208221E-06   0.317746E-05   0.208221E-06   0.172988E-07
   539   0.260587E+04  -0.123548E+02   0.318526E-05  -0.123548E+02   0.698255E+01   0.192426E-06   0.318526E-05   0.192426E-06   0.172516E-07
   540   0.260519E+04  -0.110542E+02   0.319414E-05  -0.110542E+02   0.705370E+01   0.176677E-06   0.319414E-05   0.176677E-06   0.172046E-07
   541   0.260428E+04  -0.976005E+01   0.320410E-05  -0.976005E+01   0.713019E+01   0.160970E-06   0.320410E-05   0.160970E-06   0.171577E-07
   542   0.260315E+04  -0.847321E+01   0.321512E-05  -0.847321E+01   0.721200E+01   0.145302E-06   0.321512E-05   0.145302E-06   0.171111E-07
   543   0.260177E+04  -0.719436E+01   0.322717E-05  -0.719436E+01   0.729914E+01   0.129670E-06   0.322717E-05   0.129670E-06   0.170647E-07
   544   0.260018E+04  -0.592424E+01   0.324023E-05  -0.592424E+01   0.739160E+01   0.114071E-06   0.324023E-05   0.114071E-06   0.170184E-07
   545   0.259836E+04  -0.466353E+01   0.325430E-05  -0.466353E+01   0.748936E+01   0.985010E-07   0.325430E-05   0.985010E-07   0.169724E-07
   546   0.259631E+04  -0.341293E+01   0.326936E-05  -0.341293E+01   0.759243E+01   0.829580E-07   0.326936E-05   0.829580E-07   0.169265E-07
   547   0.259404E+04  -0.217314E+01   0.328537E-05  -0.217314E+01   0.770076E+01   0.674384E-07   0.328537E-05   0.674384E-07   0.168808E-07
   548   0.259155E+04  -0.944835E+00   0.330234E-05  -0.944835E+00   0.781430E+01   0.519390E-07   0.330234E-05   0.519390E-07   0.168353E-07
