#    L    TT             EE             BB             TE          
     2   0.102506E+04   0.309694E-01   0.181718E-05   0.260559E+01
     3   0.971324E+03   0.397456E-01   0.363484E-05   0.292768E+01
     4   0.918880E+03   0.344592E-01   0.605910E-05   0.275079E+01
     5   0.879531E+03   0.230052E-01   0.909059E-05   0.234607E+01
     6   0.852584E+03   0.128738E-01   0.127301E-04   0.189200E+01
     7   0.835400E+03   0.696194E-02   0.169784E-04   0.148802E+01
     8   0.825023E+03   0.449178E-02   0.218367E-04   0.117778E+01
     9   0.820067E+03   0.360101E-02   0.273060E-04   0.967105E+00
    10   0.819071E+03   0.306924E-02   0.333876E-04   0.848192E+00
    11   0.820637E+03   0.258933E-02   0.400830E-04   0.803696E+00
    12   0.825493E+03   0.227533E-02   0.473936E-04   0.814644E+00
    13   0.831722E+03   0.219695E-02   0.553208E-04   0.857171E+00
    14   0.839149E+03   0.229111E-02   0.638664E-04   0.910320E+00
    15   0.846723E+03   0.247733E-02   0.730321E-04   0.966868E+00
    16   0.856211E+03   0.273845E-02   0.828195E-04   0.102826E+01
    17   0.867464E+03   0.311746E-02   0.932305E-04   0.109193E+01
    18   0.879339E+03   0.365751E-02   0.104267E-03   0.115660E+01
    19   0.892591E+03   0.436105E-02   0.115930E-03   0.122540E+01
    20   0.905603E+03   0.520467E-02   0.128222E-03   0.129327E+01
    21   0.919072E+03   0.618246E-02   0.141145E-03   0.136490E+01
    22   0.933025E+03   0.730605E-02   0.154701E-03   0.144073E+01
    23   0.947076E+03   0.856740E-02   0.168890E-03   0.151786E+01
    24   0.961543E+03   0.996332E-02   0.183715E-03   0.159268E+01
    25   0.976559E+03   0.114988E-01   0.199178E-03   0.165757E+01
    26   0.991631E+03   0.131865E-01   0.215279E-03   0.171635E+01
    27   0.100717E+04   0.150375E-01   0.232020E-03   0.176981E+01
    28   0.102300E+04   0.170461E-01   0.249403E-03   0.181313E+01
    29   0.103905E+04   0.192386E-01   0.267429E-03   0.185142E+01
    30   0.105551E+04   0.216438E-01   0.286098E-03   0.187811E+01
    31   0.107178E+04   0.242571E-01   0.305412E-03   0.190392E+01
    32   0.108864E+04   0.270935E-01   0.325372E-03   0.192368E+01
    33   0.110559E+04   0.301135E-01   0.345978E-03   0.193581E+01
    34   0.112261E+04   0.333433E-01   0.367232E-03   0.194132E+01
    35   0.114026E+04   0.367902E-01   0.389132E-03   0.193119E+01
    36   0.115764E+04   0.404826E-01   0.411680E-03   0.191576E+01
    37   0.117529E+04   0.444456E-01   0.434877E-03   0.188914E+01
    38   0.119330E+04   0.486665E-01   0.458721E-03   0.185323E+01
    39   0.121159E+04   0.531350E-01   0.483214E-03   0.180784E+01
    40   0.123007E+04   0.578440E-01   0.508354E-03   0.175124E+01
    41   0.124865E+04   0.627906E-01   0.534142E-03   0.168226E+01
    42   0.126734E+04   0.679876E-01   0.560576E-03   0.160187E+01
    43   0.128614E+04   0.734519E-01   0.587658E-03   0.151121E+01
