#    L    TT             EE             BB             TE          
    44   0.130511E+04   0.791981E-01   0.615386E-03   0.140978E+01
    45   0.132432E+04   0.852380E-01   0.643759E-03   0.129680E+01
    46   0.134372E+04   0.915787E-01   0.672777E-03   0.117192E+01
    47   0.136331E+04   0.982206E-01   0.702438E-03   0.103459E+01
    48   0.138306E+04   0.105155E+00   0.732743E-03   0.884225E+00
    49   0.140295E+04   0.112374E+00   0.763689E-03   0.720293E+00
    50   0.142304E+04   0.119878E+00   0.795277E-03   0.542417E+00
    51   0.144338E+04   0.127671E+00   0.827505E-03   0.350520E+00
    52   0.146393E+04   0.135759E+00   0.860372E-03   0.145552E+00
    53   0.148462E+04   0.144142E+00   0.893878E-03  -0.714879E-01
    54   0.150542E+04   0.152822E+00   0.928020E-03  -0.300462E+00
    55   0.152632E+04   0.161804E+00   0.962800E-03  -0.541601E+00
    56   0.154746E+04   0.171085E+00   0.998214E-03  -0.795778E+00
    57   0.156891E+04   0.180661E+00   0.103426E-02  -0.106388E+01
    58   0.159064E+04   0.190530E+00   0.107095E-02  -0.134610E+01
    59   0.161257E+04   0.200693E+00   0.110826E-02  -0.164237E+01
    60   0.163467E+04   0.211140E+00   0.114621E-02  -0.195218E+01
    61   0.165694E+04   0.221866E+00   0.118480E-02  -0.227506E+01
    62   0.167940E+04   0.232865E+00   0.122401E-02  -0.261102E+01
    63   0.170206E+04   0.244137E+00   0.126386E-02  -0.296016E+01
    64   0.172494E+04   0.255679E+00   0.130434E-02  -0.332262E+01
    65   0.174804E+04   0.267489E+00   0.134545E-02  -0.369858E+01
    66   0.177142E+04   0.279562E+00   0.138719E-02  -0.408823E+01
    67   0.179505E+04   0.291890E+00   0.142956E-02  -0.449105E+01
    68   0.181889E+04   0.304463E+00   0.147257E-02  -0.490631E+01
    69   0.184291E+04   0.317274E+00   0.151621E-02  -0.533333E+01
    70   0.186706E+04   0.330316E+00   0.156048E-02  -0.577161E+01
    71   0.189133E+04   0.343584E+00   0.160539E-02  -0.622096E+01
    72   0.191583E+04   0.357074E+00   0.165094E-02  -0.668228E+01
    73   0.194068E+04   0.370781E+00   0.169712E-02  -0.715654E+01
    74   0.196587E+04   0.384694E+00   0.174394E-02  -0.764363E+01
    75   0.199143E+04   0.398801E+00   0.179140E-02  -0.814309E+01
    76   0.201729E+04   0.413087E+00   0.183950E-02  -0.865439E+01
    77   0.204334E+04   0.427541E+00   0.188825E-02  -0.917607E+01
    78   0.206957E+04   0.442152E+00   0.193764E-02  -0.970768E+01
    79   0.209600E+04   0.456908E+00   0.198768E-02  -0.102490E+02
    80   0.212267E+04   0.471797E+00   0.203837E-02  -0.108002E+02
    81   0.214960E+04   0.486808E+00   0.208971E-02  -0.113608E+02
    82   0.217680E+04   0.501931E+00   0.214171E-02  -0.119305E+02
    83   0.220424E+04   0.517154E+00   0.219437E-02  -0.125090E+02
    84   0.223193E+04   0.532466E+00   0.224768E-02  -0.130957E+02
    85   0.225986E+04   0.547856E+00   0.230166E-02  -0.136905E+02
    86   0.228803E+04   0.563315E+00   0.235630E-02  -0.142928E+02
    87   0.231640E+04   0.578828E+00   0.241161E-02  -0.149020E+02
    88   0.234495E+04   0.594384E+00   0.246760E-02  -0.155176E+02
    89   0.237370E+04   0.609968E+00   0.252426E-02  -0.161393E+02
    90   0.240264E+04   0.625563E+00   0.258159E-02  -0.167666E+02
    91   0.243179E+04   0.641156E+00   0.263961E-02  -0.173991E+02
    92   0.246114E+04   0.656733E+00   0.269831E-02  -0.180366E+02
    93   0.249072E+04   0.672277E+00   0.275771E-02  -0.186786E+02
    94   0.252052E+04   0.687777E+00   0.281779E-02  -0.193248E+02
    95   0.255054E+04   0.703218E+00   0.287857E-02  -0.199747E+02
    96   0.258078E+04   0.718585E+00   0.294004E-02  -0.206278E+02
    97   0.261125E+04   0.733863E+00   0.300222E-02  -0.212838E+02
    98   0.264195E+04   0.749038E+00   0.306511E-02  -0.219422E+02
    99   0.267285E+04   0.764095E+00   0.312870E-02  -0.226025E+02
   100   0.270398E+04   0.779022E+00   0.319301E-02  -0.232641E+02
   101   0.273533E+04   0.793806E+00   0.325803E-02  -0.239266E+02
   102   0.276689E+04   0.808423E+00   0.332377E-02  -0.245896E+02
   103   0.279865E+04   0.822874E+00   0.339024E-02  -0.252523E+02
   104   0.283062E+04   0.837130E+00   0.345744E-02  -0.259144E+02
   105   0.286278E+04   0.851182E+00   0.352536E-02  -0.265752E+02
   106   0.289513E+04   0.865018E+00   0.359403E-02  -0.272342E+02
   107   0.292765E+04   0.878628E+00   0.366343E-02  -0.278909E+02
   108   0.296035E+04   0.891991E+00   0.373358E-02  -0.285446E+02
   109   0.299321E+04   0.905101E+00   0.380448E-02  -0.291947E+02
   110   0.302624E+04   0.917934E+00   0.387613E-02  -0.298408E+02
   111   0.305941E+04   0.930484E+00   0.394853E-02  -0.304824E+02
   112   0.309274E+04   0.942743E+00   0.402170E-02  -0.311186E+02
   113   0.312621E+04   0.954688E+00   0.409563E-02  -0.317492E+02
   114   0.315981E+04   0.966305E+00   0.417033E-02  -0.323734E+02
   115   0.319354E+04   0.977594E+00   0.424581E-02  -0.329906E+02
   116   0.322739E+04   0.988539E+00   0.432207E-02  -0.336005E+02
   117   0.326137E+04   0.999119E+00   0.439911E-02  -0.342023E+02
   118   0.329544E+04   0.100933E+01   0.447694E-02  -0.347954E+02
   119   0.332961E+04   0.101917E+01   0.455556E-02  -0.353795E+02
   120   0.336388E+04   0.102861E+01   0.463499E-02  -0.359538E+02
   121   0.339823E+04   0.103765E+01   0.471522E-02  -0.365178E+02
   122   0.343265E+04   0.104628E+01   0.479626E-02  -0.370710E+02
   123   0.346714E+04   0.105449E+01   0.487811E-02  -0.376128E+02
   124   0.350169E+04   0.106227E+01   0.496079E-02  -0.381426E+02
   125   0.353628E+04   0.106962E+01   0.504430E-02  -0.386600E+02
   126   0.357092E+04   0.107652E+01   0.512864E-02  -0.391644E+02
   127   0.360559E+04   0.108297E+01   0.521382E-02  -0.396551E+02
   128   0.364027E+04   0.108895E+01   0.529984E-02  -0.401319E+02
   129   0.367498E+04   0.109448E+01   0.538672E-02  -0.405940E+02
   130   0.370969E+04   0.109952E+01   0.547446E-02  -0.410409E+02
   131   0.374438E+04   0.110409E+01   0.556306E-02  -0.414722E+02
   132   0.377908E+04   0.110818E+01   0.565253E-02  -0.418874E+02
   133   0.381374E+04   0.111177E+01   0.574289E-02  -0.422859E+02
   134   0.384839E+04   0.111489E+01   0.583412E-02  -0.426673E+02
   135   0.388299E+04   0.111751E+01   0.592625E-02  -0.430312E+02
   136   0.391756E+04   0.111964E+01   0.601928E-02  -0.433770E+02
   137   0.395207E+04   0.112128E+01   0.611321E-02  -0.437042E+02
   138   0.398652E+04   0.112242E+01   0.620805E-02  -0.440126E+02
   139   0.402090E+04   0.112307E+01   0.630382E-02  -0.443016E+02
   140   0.405521E+04   0.112321E+01   0.640050E-02  -0.445708E+02
   141   0.408944E+04   0.112288E+01   0.649813E-02  -0.448199E+02
   142   0.412357E+04   0.112206E+01   0.659669E-02  -0.450483E+02
   143   0.415761E+04   0.112074E+01   0.669619E-02  -0.452559E+02
   144   0.419153E+04   0.111895E+01   0.679665E-02  -0.454420E+02
   145   0.422534E+04   0.111667E+01   0.689806E-02  -0.456064E+02
   146   0.425900E+04   0.111392E+01   0.700044E-02  -0.457486E+02
   147   0.429252E+04   0.111070E+01   0.710379E-02  -0.458682E+02
   148   0.432587E+04   0.110703E+01   0.720812E-02  -0.459649E+02
   149   0.435904E+04   0.110289E+01   0.731342E-02  -0.460382E+02
   150   0.439201E+04   0.109832E+01   0.741972E-02  -0.460877E+02
   151   0.442477E+04   0.109330E+01   0.752700E-02  -0.461131E+02
   152   0.445733E+04   0.108785E+01   0.763528E-02  -0.461141E+02
   153   0.448966E+04   0.108198E+01   0.774457E-02  -0.460905E+02
   154   0.452176E+04   0.107572E+01   0.785485E-02  -0.460420E+02
   155   0.455364E+04   0.106905E+01   0.796615E-02  -0.459684E+02
   156   0.458529E+04   0.106201E+01   0.807846E-02  -0.458694E+02
   157   0.461669E+04   0.105458E+01   0.819179E-02  -0.457448E+02
   158   0.464785E+04   0.104681E+01   0.830613E-02  -0.455943E+02
   159   0.467876E+04   0.103870E+01   0.842150E-02  -0.454178E+02
   160   0.470940E+04   0.103026E+01   0.853788E-02  -0.452150E+02
   161   0.473975E+04   0.102151E+01   0.865530E-02  -0.449857E+02
   162   0.476982E+04   0.101246E+01   0.877373E-02  -0.447299E+02
   163   0.479957E+04   0.100315E+01   0.889320E-02  -0.444470E+02
   164   0.482901E+04   0.993580E+00   0.901369E-02  -0.441373E+02
   165   0.485811E+04   0.983766E+00   0.913521E-02  -0.438002E+02
   166   0.488688E+04   0.973734E+00   0.925775E-02  -0.434359E+02
   167   0.491530E+04   0.963506E+00   0.938132E-02  -0.430441E+02
   168   0.494336E+04   0.953105E+00   0.950591E-02  -0.426249E+02
   169   0.497105E+04   0.942553E+00   0.963152E-02  -0.421781E+02
   170   0.499838E+04   0.931865E+00   0.975815E-02  -0.417038E+02
   171   0.502532E+04   0.921072E+00   0.988580E-02  -0.412017E+02
   172   0.505187E+04   0.910196E+00   0.100145E-01  -0.406720E+02
   173   0.507802E+04   0.899260E+00   0.101441E-01  -0.401145E+02
   174   0.510376E+04   0.888285E+00   0.102748E-01  -0.395293E+02
   175   0.512909E+04   0.877310E+00   0.104065E-01  -0.389165E+02
   176   0.515399E+04   0.866350E+00   0.105391E-01  -0.382760E+02
   177   0.517846E+04   0.855442E+00   0.106728E-01  -0.376079E+02
   178   0.520248E+04   0.844609E+00   0.108075E-01  -0.369122E+02
   179   0.522605E+04   0.833874E+00   0.109431E-01  -0.361889E+02
   180   0.524917E+04   0.823274E+00   0.110797E-01  -0.354382E+02
   181   0.527182E+04   0.812839E+00   0.112172E-01  -0.346603E+02
   182   0.529399E+04   0.802600E+00   0.113558E-01  -0.338553E+02
   183   0.531569E+04   0.792580E+00   0.114952E-01  -0.330233E+02
   184   0.533690E+04   0.782815E+00   0.116357E-01  -0.321645E+02
   185   0.535762E+04   0.773344E+00   0.117770E-01  -0.312790E+02
   186   0.537784E+04   0.764188E+00   0.119193E-01  -0.303670E+02
   187   0.539755E+04   0.755380E+00   0.120625E-01  -0.294287E+02
   188   0.541675E+04   0.746958E+00   0.122066E-01  -0.284643E+02
   189   0.543542E+04   0.738956E+00   0.123516E-01  -0.274741E+02
   190   0.545357E+04   0.731407E+00   0.124975E-01  -0.264584E+02
   191   0.547119E+04   0.724344E+00   0.126443E-01  -0.254174E+02
   192   0.548826E+04   0.717802E+00   0.127920E-01  -0.243512E+02
   193   0.550477E+04   0.711815E+00   0.129405E-01  -0.232603E+02
   194   0.552074E+04   0.706418E+00   0.130899E-01  -0.221449E+02
   195   0.553615E+04   0.701648E+00   0.132401E-01  -0.210054E+02
   196   0.555100E+04   0.697541E+00   0.133911E-01  -0.198422E+02
   197   0.556529E+04   0.694134E+00   0.135430E-01  -0.186556E+02
   198   0.557902E+04   0.691462E+00   0.136957E-01  -0.174460E+02
   199   0.559217E+04   0.689563E+00   0.138491E-01  -0.162138E+02
   200   0.560475E+04   0.688471E+00   0.140034E-01  -0.149594E+02
   201   0.561675E+04   0.688226E+00   0.141584E-01  -0.136830E+02
   202   0.562817E+04   0.688861E+00   0.143142E-01  -0.123854E+02
   203   0.563897E+04   0.690415E+00   0.144708E-01  -0.110667E+02
   204   0.564917E+04   0.692923E+00   0.146281E-01  -0.972743E+01
   205   0.565874E+04   0.696423E+00   0.147861E-01  -0.836806E+01
   206   0.566769E+04   0.700949E+00   0.149448E-01  -0.698899E+01
   207   0.567600E+04   0.706538E+00   0.151043E-01  -0.559058E+01
   208   0.568366E+04   0.713228E+00   0.152644E-01  -0.417346E+01
   209   0.569070E+04   0.721054E+00   0.154252E-01  -0.273817E+01
   210   0.569711E+04   0.730052E+00   0.155867E-01  -0.128527E+01
   211   0.570290E+04   0.740260E+00   0.157488E-01   0.184683E+00
   212   0.570808E+04   0.751713E+00   0.159116E-01   0.167111E+01
   213   0.571265E+04   0.764447E+00   0.160750E-01   0.317346E+01
   214   0.571662E+04   0.778500E+00   0.162390E-01   0.469117E+01
   215   0.571999E+04   0.793900E+00   0.164035E-01   0.622363E+01
   216   0.572274E+04   0.810693E+00   0.165687E-01   0.777024E+01
   217   0.572488E+04   0.828909E+00   0.167344E-01   0.933039E+01
   218   0.572640E+04   0.848575E+00   0.169007E-01   0.109036E+02
   219   0.572729E+04   0.869737E+00   0.170675E-01   0.124890E+02
   220   0.572756E+04   0.892424E+00   0.172348E-01   0.140863E+02
   221   0.572720E+04   0.916664E+00   0.174026E-01   0.156947E+02
   222   0.572621E+04   0.942503E+00   0.175709E-01   0.173136E+02
   223   0.572458E+04   0.969961E+00   0.177397E-01   0.189423E+02
   224   0.572234E+04   0.999076E+00   0.179089E-01   0.205803E+02
   225   0.571947E+04   0.102987E+01   0.180786E-01   0.222267E+02
   226   0.571597E+04   0.106238E+01   0.182486E-01   0.238810E+02
   227   0.571185E+04   0.109665E+01   0.184191E-01   0.255424E+02
   228   0.570710E+04   0.113269E+01   0.185899E-01   0.272103E+02
   229   0.570174E+04   0.117054E+01   0.187611E-01   0.288840E+02
   230   0.569576E+04   0.121023E+01   0.189326E-01   0.305628E+02
   231   0.568917E+04   0.125177E+01   0.191045E-01   0.322460E+02
   232   0.568196E+04   0.129521E+01   0.192766E-01   0.339330E+02
   233   0.567415E+04   0.134056E+01   0.194490E-01   0.356228E+02
   234   0.566572E+04   0.138785E+01   0.196217E-01   0.373149E+02
   235   0.565669E+04   0.143711E+01   0.197946E-01   0.390086E+02
   236   0.564704E+04   0.148838E+01   0.199678E-01   0.407030E+02
   237   0.563681E+04   0.154164E+01   0.201411E-01   0.423976E+02
   238   0.562597E+04   0.159695E+01   0.203146E-01   0.440914E+02
   239   0.561455E+04   0.165430E+01   0.204883E-01   0.457839E+02
   240   0.560253E+04   0.171374E+01   0.206620E-01   0.474742E+02
   241   0.558992E+04   0.177527E+01   0.208359E-01   0.491616E+02
   242   0.557674E+04   0.183893E+01   0.210099E-01   0.508453E+02
   243   0.556298E+04   0.190471E+01   0.211840E-01   0.525246E+02
   244   0.554864E+04   0.197265E+01   0.213581E-01   0.541989E+02
   245   0.553374E+04   0.204276E+01   0.215322E-01   0.558673E+02
   246   0.551829E+04   0.211504E+01   0.217064E-01   0.575292E+02
   247   0.550228E+04   0.218953E+01   0.218805E-01   0.591838E+02
   248   0.548573E+04   0.226622E+01   0.220546E-01   0.608303E+02
   249   0.546864E+04   0.234513E+01   0.222286E-01   0.624681E+02
   250   0.545101E+04   0.242629E+01   0.224025E-01   0.640964E+02
   251   0.543285E+04   0.250967E+01   0.225763E-01   0.657144E+02
   252   0.541415E+04   0.259530E+01   0.227500E-01   0.673212E+02
   253   0.539493E+04   0.268318E+01   0.229236E-01   0.689162E+02
   254   0.537519E+04   0.277331E+01   0.230970E-01   0.704985E+02
   255   0.535492E+04   0.286570E+01   0.232702E-01   0.720673E+02
   256   0.533414E+04   0.296036E+01   0.234432E-01   0.736219E+02
   257   0.531285E+04   0.305727E+01   0.236159E-01   0.751617E+02
   258   0.529106E+04   0.315644E+01   0.237885E-01   0.766857E+02
   259   0.526880E+04   0.325789E+01   0.239607E-01   0.781943E+02
   260   0.524607E+04   0.336158E+01   0.241327E-01   0.796853E+02
   261   0.522288E+04   0.346754E+01   0.243044E-01   0.811594E+02
   262   0.519925E+04   0.357576E+01   0.244757E-01   0.826152E+02
   263   0.517519E+04   0.368623E+01   0.246467E-01   0.840527E+02
   264   0.515070E+04   0.379894E+01   0.248174E-01   0.854705E+02
   265   0.512579E+04   0.391389E+01   0.249877E-01   0.868691E+02
   266   0.510046E+04   0.403105E+01   0.251576E-01   0.882466E+02
   267   0.507474E+04   0.415042E+01   0.253271E-01   0.896020E+02
   268   0.504861E+04   0.427199E+01   0.254962E-01   0.909362E+02
   269   0.502208E+04   0.439575E+01   0.256648E-01   0.922470E+02
   270   0.499516E+04   0.452167E+01   0.258330E-01   0.935350E+02
   271   0.496786E+04   0.464974E+01   0.260008E-01   0.947982E+02
   272   0.494019E+04   0.477995E+01   0.261680E-01   0.960371E+02
   273   0.491217E+04   0.491227E+01   0.263348E-01   0.972505E+02
   274   0.488380E+04   0.504668E+01   0.265011E-01   0.984389E+02
   275   0.485508E+04   0.518316E+01   0.266669E-01   0.996003E+02
   276   0.482605E+04   0.532169E+01   0.268321E-01   0.100735E+03
   277   0.479669E+04   0.546225E+01   0.269968E-01   0.101843E+03
   278   0.476703E+04   0.560482E+01   0.271610E-01   0.102921E+03
   279   0.473707E+04   0.574935E+01   0.273246E-01   0.103972E+03
   280   0.470683E+04   0.589582E+01   0.274876E-01   0.104994E+03
   281   0.467631E+04   0.604421E+01   0.276501E-01   0.105986E+03
   282   0.464553E+04   0.619447E+01   0.278120E-01   0.106948E+03
   283   0.461449E+04   0.634658E+01   0.279733E-01   0.107880E+03
   284   0.458320E+04   0.650051E+01   0.281340E-01   0.108780E+03
   285   0.455168E+04   0.665622E+01   0.282941E-01   0.109649E+03
   286   0.451993E+04   0.681368E+01   0.284536E-01   0.110486E+03
   287   0.448797E+04   0.697284E+01   0.286124E-01   0.111291E+03
   288   0.445581E+04   0.713367E+01   0.287706E-01   0.112063E+03
   289   0.442345E+04   0.729613E+01   0.289282E-01   0.112802E+03
   290   0.439092E+04   0.746018E+01   0.290852E-01   0.113507E+03
   291   0.435821E+04   0.762580E+01   0.292415E-01   0.114179E+03
   292   0.432534E+04   0.779285E+01   0.293971E-01   0.114816E+03
   293   0.429232E+04   0.796140E+01   0.295521E-01   0.115419E+03
   294   0.425915E+04   0.813139E+01   0.297064E-01   0.115986E+03
   295   0.422585E+04   0.830265E+01   0.298601E-01   0.116518E+03
   296   0.419243E+04   0.847527E+01   0.300131E-01   0.117014E+03
   297   0.415888E+04   0.864909E+01   0.301654E-01   0.117473E+03
   298   0.412523E+04   0.882411E+01   0.303170E-01   0.117896E+03
   299   0.409149E+04   0.900027E+01   0.304680E-01   0.118282E+03
   300   0.405766E+04   0.917747E+01   0.306182E-01   0.118631E+03
   301   0.402376E+04   0.935581E+01   0.307678E-01   0.118943E+03
   302   0.398981E+04   0.953504E+01   0.309167E-01   0.119218E+03
   303   0.395580E+04   0.971526E+01   0.310649E-01   0.119455E+03
   304   0.392176E+04   0.989637E+01   0.312124E-01   0.119655E+03
   305   0.388771E+04   0.100783E+02   0.313592E-01   0.119818E+03
   306   0.385363E+04   0.102611E+02   0.315053E-01   0.119943E+03
   307   0.381956E+04   0.104445E+02   0.316507E-01   0.120030E+03
   308   0.378549E+04   0.106287E+02   0.317954E-01   0.120079E+03
   309   0.375145E+04   0.108134E+02   0.319394E-01   0.120090E+03
   310   0.371742E+04   0.109986E+02   0.320828E-01   0.120064E+03
   311   0.368344E+04   0.111843E+02   0.322254E-01   0.119998E+03
   312   0.364949E+04   0.113704E+02   0.323673E-01   0.119895E+03
   313   0.361561E+04   0.115568E+02   0.325086E-01   0.119754E+03
   314   0.358180E+04   0.117435E+02   0.326492E-01   0.119573E+03
   315   0.354806E+04   0.119304E+02   0.327890E-01   0.119355E+03
   316   0.351441E+04   0.121175E+02   0.329282E-01   0.119098E+03
   317   0.348085E+04   0.123046E+02   0.330667E-01   0.118804E+03
   318   0.344741E+04   0.124916E+02   0.332046E-01   0.118471E+03
   319   0.341408E+04   0.126787E+02   0.333418E-01   0.118100E+03
   320   0.338088E+04   0.128656E+02   0.334783E-01   0.117691E+03
   321   0.334782E+04   0.130524E+02   0.336141E-01   0.117245E+03
   322   0.331490E+04   0.132388E+02   0.337493E-01   0.116761E+03
   323   0.328214E+04   0.134249E+02   0.338839E-01   0.116239E+03
   324   0.324953E+04   0.136106E+02   0.340178E-01   0.115681E+03
   325   0.321711E+04   0.137958E+02   0.341511E-01   0.115085E+03
   326   0.318487E+04   0.139805E+02   0.342838E-01   0.114452E+03
   327   0.315282E+04   0.141645E+02   0.344159E-01   0.113782E+03
   328   0.312097E+04   0.143478E+02   0.345474E-01   0.113075E+03
   329   0.308932E+04   0.145304E+02   0.346783E-01   0.112333E+03
   330   0.305790E+04   0.147120E+02   0.348086E-01   0.111554E+03
   331   0.302671E+04   0.148928E+02   0.349384E-01   0.110740E+03
   332   0.299575E+04   0.150727E+02   0.350676E-01   0.109889E+03
   333   0.296502E+04   0.152514E+02   0.351963E-01   0.109005E+03
   334   0.293455E+04   0.154290E+02   0.353245E-01   0.108085E+03
   335   0.290435E+04   0.156054E+02   0.354521E-01   0.107131E+03
   336   0.287441E+04   0.157805E+02   0.355793E-01   0.106143E+03
   337   0.284475E+04   0.159543E+02   0.357060E-01   0.105121E+03
   338   0.281536E+04   0.161267E+02   0.358322E-01   0.104067E+03
   339   0.278628E+04   0.162976E+02   0.359580E-01   0.102980E+03
   340   0.275749E+04   0.164671E+02   0.360834E-01   0.101861E+03
   341   0.272901E+04   0.166348E+02   0.362084E-01   0.100711E+03
   342   0.270083E+04   0.168008E+02   0.363329E-01   0.995279E+02
   343   0.267298E+04   0.169651E+02   0.364571E-01   0.983146E+02
   344   0.264544E+04   0.171275E+02   0.365810E-01   0.970702E+02
   345   0.261822E+04   0.172879E+02   0.367045E-01   0.957953E+02
   346   0.259134E+04   0.174463E+02   0.368277E-01   0.944899E+02
   347   0.256479E+04   0.176026E+02   0.369506E-01   0.931549E+02
   348   0.253857E+04   0.177566E+02   0.370733E-01   0.917901E+02
   349   0.251271E+04   0.179085E+02   0.371957E-01   0.903979E+02
   350   0.248720E+04   0.180581E+02   0.373178E-01   0.889776E+02
   351   0.246206E+04   0.182054E+02   0.374398E-01   0.875305E+02
   352   0.243730E+04   0.183504E+02   0.375615E-01   0.860576E+02
   353   0.241291E+04   0.184929E+02   0.376831E-01   0.845587E+02
   354   0.238889E+04   0.186330E+02   0.378046E-01   0.830361E+02
   355   0.236528E+04   0.187706E+02   0.379259E-01   0.814891E+02
   356   0.234205E+04   0.189055E+02   0.380472E-01   0.799185E+02
   357   0.231922E+04   0.190379E+02   0.381683E-01   0.783249E+02
   358   0.229680E+04   0.191675E+02   0.382894E-01   0.767092E+02
   359   0.227477E+04   0.192942E+02   0.384105E-01   0.750713E+02
   360   0.225315E+04   0.194181E+02   0.385316E-01   0.734128E+02
   361   0.223193E+04   0.195391E+02   0.386526E-01   0.717326E+02
   362   0.221113E+04   0.196570E+02   0.387737E-01   0.700325E+02
   363   0.219075E+04   0.197719E+02   0.388949E-01   0.683132E+02
   364   0.217077E+04   0.198837E+02   0.390161E-01   0.665754E+02
   365   0.215123E+04   0.199924E+02   0.391374E-01   0.648198E+02
   366   0.213211E+04   0.200978E+02   0.392588E-01   0.630474E+02
   367   0.211342E+04   0.202001E+02   0.393804E-01   0.612587E+02
   368   0.209516E+04   0.202990E+02   0.395021E-01   0.594546E+02
   369   0.207733E+04   0.203947E+02   0.396240E-01   0.576360E+02
   370   0.205995E+04   0.204868E+02   0.397461E-01   0.558034E+02
   371   0.204299E+04   0.205757E+02   0.398685E-01   0.539578E+02
   372   0.202648E+04   0.206611E+02   0.399910E-01   0.520999E+02
   373   0.201040E+04   0.207430E+02   0.401139E-01   0.502304E+02
   374   0.199477E+04   0.208214E+02   0.402370E-01   0.483502E+02
   375   0.197957E+04   0.208963E+02   0.403604E-01   0.464599E+02
   376   0.196482E+04   0.209675E+02   0.404841E-01   0.445604E+02
   377   0.195051E+04   0.210351E+02   0.406082E-01   0.426523E+02
   378   0.193664E+04   0.210990E+02   0.407326E-01   0.407365E+02
   379   0.192322E+04   0.211591E+02   0.408574E-01   0.388136E+02
   380   0.191025E+04   0.212154E+02   0.409826E-01   0.368845E+02
   381   0.189772E+04   0.212680E+02   0.411082E-01   0.349498E+02
   382   0.188564E+04   0.213165E+02   0.412343E-01   0.330103E+02
   383   0.187401E+04   0.213613E+02   0.413608E-01   0.310669E+02
   384   0.186282E+04   0.214022E+02   0.414878E-01   0.291204E+02
   385   0.185207E+04   0.214392E+02   0.416152E-01   0.271716E+02
   386   0.184177E+04   0.214724E+02   0.417432E-01   0.252215E+02
   387   0.183192E+04   0.215016E+02   0.418716E-01   0.232708E+02
   388   0.182250E+04   0.215270E+02   0.420007E-01   0.213204E+02
   389   0.181352E+04   0.215485E+02   0.421302E-01   0.193710E+02
   390   0.180499E+04   0.215661E+02   0.422604E-01   0.174236E+02
   391   0.179689E+04   0.215799E+02   0.423911E-01   0.154789E+02
   392   0.178921E+04   0.215896E+02   0.425224E-01   0.135377E+02
   393   0.178198E+04   0.215955E+02   0.426544E-01   0.116008E+02
   394   0.177517E+04   0.215974E+02   0.427870E-01   0.966894E+01
   395   0.176878E+04   0.215952E+02   0.429203E-01   0.774298E+01
