 a		phi		phidot		fde
    0.135402E-06    0.337289E+01   -0.612713E-14    0.923238E-15
    0.135840E-06    0.337289E+01   -0.621454E-14    0.935221E-15
    0.136278E-06    0.337289E+01   -0.630262E-14    0.947359E-15
    0.136718E-06    0.337289E+01   -0.639138E-14    0.959655E-15
    0.137160E-06    0.337289E+01   -0.648083E-14    0.972111E-15
    0.137603E-06    0.337289E+01   -0.657097E-14    0.984728E-15
    0.138047E-06    0.337289E+01   -0.666181E-14    0.997509E-15
    0.138493E-06    0.337289E+01   -0.675336E-14    0.101046E-14
    0.138940E-06    0.337289E+01   -0.684563E-14    0.102357E-14
    0.139389E-06    0.337289E+01   -0.693862E-14    0.103686E-14
    0.139839E-06    0.337289E+01   -0.703235E-14    0.105031E-14
    0.140291E-06    0.337289E+01   -0.712682E-14    0.106395E-14
    0.140744E-06    0.337289E+01   -0.722203E-14    0.107775E-14
    0.141198E-06    0.337289E+01   -0.731801E-14    0.109174E-14
    0.141654E-06    0.337289E+01   -0.741476E-14    0.110591E-14
    0.142112E-06    0.337289E+01   -0.751228E-14    0.112027E-14
    0.142571E-06    0.337289E+01   -0.761058E-14    0.113481E-14
    0.143031E-06    0.337289E+01   -0.770968E-14    0.114953E-14
    0.143493E-06    0.337289E+01   -0.780958E-14    0.116445E-14
    0.143957E-06    0.337289E+01   -0.791029E-14    0.117957E-14
    0.144422E-06    0.337289E+01   -0.801182E-14    0.119488E-14
    0.144888E-06    0.337289E+01   -0.811417E-14    0.121039E-14
    0.145356E-06    0.337289E+01   -0.821737E-14    0.122610E-14
    0.145825E-06    0.337289E+01   -0.832141E-14    0.124201E-14
    0.146296E-06    0.337289E+01   -0.842630E-14    0.125813E-14
    0.146769E-06    0.337289E+01   -0.853207E-14    0.127446E-14
    0.147243E-06    0.337289E+01   -0.863870E-14    0.129100E-14
    0.147718E-06    0.337289E+01   -0.874622E-14    0.130776E-14
    0.148195E-06    0.337289E+01   -0.885464E-14    0.132473E-14
    0.148674E-06    0.337289E+01   -0.896395E-14    0.134192E-14
    0.149154E-06    0.337289E+01   -0.907418E-14    0.135934E-14
    0.149636E-06    0.337289E+01   -0.918534E-14    0.137698E-14
    0.150119E-06    0.337289E+01   -0.929742E-14    0.139486E-14
    0.150604E-06    0.337289E+01   -0.941045E-14    0.141296E-14
    0.151090E-06    0.337289E+01   -0.952443E-14    0.143130E-14
    0.151578E-06    0.337289E+01   -0.963937E-14    0.144987E-14
    0.152068E-06    0.337289E+01   -0.975529E-14    0.146869E-14
    0.152559E-06    0.337289E+01   -0.987219E-14    0.148775E-14
    0.153051E-06    0.337289E+01   -0.999009E-14    0.150706E-14
    0.153546E-06    0.337289E+01   -0.101090E-13    0.152662E-14
    0.154041E-06    0.337289E+01   -0.102289E-13    0.154644E-14
    0.154539E-06    0.337289E+01   -0.103498E-13    0.156651E-14
    0.155038E-06    0.337289E+01   -0.104718E-13    0.158684E-14
