#    L    TT             EE             BB             TE          
    91   0.242678E+04   0.638549E+00   0.265007E-02  -0.172928E+02
    92   0.245605E+04   0.654101E+00   0.270900E-02  -0.179283E+02
    93   0.248554E+04   0.669623E+00   0.276862E-02  -0.185683E+02
    94   0.251524E+04   0.685104E+00   0.282893E-02  -0.192126E+02
    95   0.254517E+04   0.700528E+00   0.288995E-02  -0.198607E+02
    96   0.257532E+04   0.715881E+00   0.295166E-02  -0.205122E+02
    97   0.260569E+04   0.731149E+00   0.301407E-02  -0.211665E+02
    98   0.263630E+04   0.746316E+00   0.307720E-02  -0.218233E+02
    99   0.266711E+04   0.761368E+00   0.314103E-02  -0.224821E+02
   100   0.269815E+04   0.776294E+00   0.320558E-02  -0.231423E+02
   101   0.272940E+04   0.791078E+00   0.327085E-02  -0.238034E+02
   102   0.276087E+04   0.805700E+00   0.333684E-02  -0.244652E+02
   103   0.279254E+04   0.820159E+00   0.340356E-02  -0.251268E+02
   104   0.282441E+04   0.834426E+00   0.347101E-02  -0.257879E+02
   105   0.285648E+04   0.848493E+00   0.353919E-02  -0.264478E+02
   106   0.288873E+04   0.862347E+00   0.360811E-02  -0.271060E+02
   107   0.292117E+04   0.875979E+00   0.367777E-02  -0.277620E+02
   108   0.295377E+04   0.889368E+00   0.374818E-02  -0.284152E+02
   109   0.298655E+04   0.902506E+00   0.381934E-02  -0.290649E+02
   110   0.301948E+04   0.915372E+00   0.389125E-02  -0.297107E+02
   111   0.305257E+04   0.927959E+00   0.396392E-02  -0.303520E+02
   112   0.308581E+04   0.940258E+00   0.403735E-02  -0.309883E+02
   113   0.311919E+04   0.952248E+00   0.411155E-02  -0.316189E+02
   114   0.315271E+04   0.963914E+00   0.418653E-02  -0.322434E+02
   115   0.318635E+04   0.975255E+00   0.426228E-02  -0.328611E+02
   116   0.322012E+04   0.986256E+00   0.433881E-02  -0.334715E+02
   117   0.325401E+04   0.996895E+00   0.441612E-02  -0.340740E+02
   118   0.328800E+04   0.100717E+01   0.449423E-02  -0.346680E+02
   119   0.332210E+04   0.101707E+01   0.457313E-02  -0.352530E+02
   120   0.335628E+04   0.102659E+01   0.465284E-02  -0.358285E+02
   121   0.339056E+04   0.103570E+01   0.473335E-02  -0.363938E+02
   122   0.342490E+04   0.104441E+01   0.481467E-02  -0.369484E+02
   123   0.345932E+04   0.105270E+01   0.489682E-02  -0.374919E+02
   124   0.349379E+04   0.106057E+01   0.497978E-02  -0.380235E+02
   125   0.352831E+04   0.106800E+01   0.506358E-02  -0.385428E+02
   126   0.356288E+04   0.107499E+01   0.514821E-02  -0.390493E+02
   127   0.359748E+04   0.108153E+01   0.523368E-02  -0.395424E+02
   128   0.363209E+04   0.108762E+01   0.532000E-02  -0.400215E+02
   129   0.366673E+04   0.109324E+01   0.540717E-02  -0.404863E+02
   130   0.370138E+04   0.109839E+01   0.549520E-02  -0.409361E+02
   131   0.373601E+04   0.110306E+01   0.558410E-02  -0.413703E+02
   132   0.377064E+04   0.110726E+01   0.567388E-02  -0.417886E+02
   133   0.380525E+04   0.111097E+01   0.576453E-02  -0.421905E+02
   134   0.383984E+04   0.111421E+01   0.585607E-02  -0.425754E+02
   135   0.387439E+04   0.111695E+01   0.594851E-02  -0.429430E+02
   136   0.390890E+04   0.111920E+01   0.604184E-02  -0.432927E+02
   137   0.394336E+04   0.112095E+01   0.613608E-02  -0.436239E+02
   138   0.397777E+04   0.112222E+01   0.623124E-02  -0.439365E+02
   139   0.401210E+04   0.112299E+01   0.632732E-02  -0.442299E+02
   140   0.404637E+04   0.112327E+01   0.642432E-02  -0.445038E+02
   141   0.408056E+04   0.112306E+01   0.652226E-02  -0.447576E+02
   142   0.411465E+04   0.112237E+01   0.662114E-02  -0.449910E+02
   143   0.414866E+04   0.112118E+01   0.672097E-02  -0.452037E+02
   144   0.418255E+04   0.111952E+01   0.682175E-02  -0.453952E+02
   145   0.421633E+04   0.111737E+01   0.692349E-02  -0.455651E+02
   146   0.424997E+04   0.111475E+01   0.702620E-02  -0.457130E+02
   147   0.428346E+04   0.111167E+01   0.712988E-02  -0.458385E+02
   148   0.431679E+04   0.110813E+01   0.723454E-02  -0.459412E+02
   149   0.434995E+04   0.110413E+01   0.734019E-02  -0.460207E+02
   150   0.438291E+04   0.109968E+01   0.744682E-02  -0.460767E+02
   151   0.441567E+04   0.109479E+01   0.755445E-02  -0.461087E+02
   152   0.444822E+04   0.108947E+01   0.766308E-02  -0.461166E+02
   153   0.448055E+04   0.108373E+01   0.777271E-02  -0.460999E+02
   154   0.451266E+04   0.107759E+01   0.788335E-02  -0.460586E+02
   155   0.454454E+04   0.107105E+01   0.799501E-02  -0.459923E+02
   156   0.457621E+04   0.106413E+01   0.810768E-02  -0.459008E+02
   157   0.460762E+04   0.105683E+01   0.822137E-02  -0.457838E+02
   158   0.463881E+04   0.104918E+01   0.833608E-02  -0.456412E+02
   159   0.466974E+04   0.104117E+01   0.845181E-02  -0.454726E+02
   160   0.470041E+04   0.103284E+01   0.856857E-02  -0.452780E+02
   161   0.473079E+04   0.102420E+01   0.868636E-02  -0.450570E+02
   162   0.476089E+04   0.101526E+01   0.880518E-02  -0.448096E+02
   163   0.479069E+04   0.100605E+01   0.892503E-02  -0.445354E+02
   164   0.482017E+04   0.996569E+00   0.904591E-02  -0.442343E+02
   165   0.484932E+04   0.986844E+00   0.916782E-02  -0.439061E+02
   166   0.487814E+04   0.976896E+00   0.929076E-02  -0.435508E+02
   167   0.490661E+04   0.966747E+00   0.941473E-02  -0.431681E+02
   168   0.493474E+04   0.956418E+00   0.953973E-02  -0.427581E+02
   169   0.496250E+04   0.945933E+00   0.966575E-02  -0.423207E+02
   170   0.498989E+04   0.935305E+00   0.979280E-02  -0.418558E+02
   171   0.501690E+04   0.924565E+00   0.992086E-02  -0.413634E+02
   172   0.504353E+04   0.913736E+00   0.100500E-01  -0.408434E+02
   173   0.506976E+04   0.902838E+00   0.101800E-01  -0.402957E+02
   174   0.509559E+04   0.891895E+00   0.103112E-01  -0.397204E+02
   175   0.512101E+04   0.880943E+00   0.104433E-01  -0.391176E+02
   176   0.514600E+04   0.869998E+00   0.105764E-01  -0.384872E+02
   177   0.517057E+04   0.859097E+00   0.107105E-01  -0.378293E+02
