#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    21   0.918837E+03   0.136506E+01   0.160863E-02   0.136506E+01   0.604142E-02   0.431652E-07   0.160863E-02   0.431652E-07   0.131505E-06
    22   0.932769E+03   0.144092E+01   0.156069E-02   0.144092E+01   0.715149E-02  -0.212122E-06   0.156069E-02  -0.212122E-06   0.132627E-06
    23   0.946799E+03   0.151808E+01   0.151499E-02   0.151808E+01   0.839869E-02  -0.449742E-06   0.151499E-02  -0.449742E-06   0.133616E-06
    24   0.961244E+03   0.159294E+01   0.147143E-02   0.159294E+01   0.977983E-02  -0.618540E-06   0.147143E-02  -0.618540E-06   0.134479E-06
    25   0.976238E+03   0.165786E+01   0.142992E-02   0.165786E+01   0.112999E-01  -0.735690E-06   0.142992E-02  -0.735690E-06   0.135228E-06
    26   0.991287E+03   0.171669E+01   0.139034E-02   0.171669E+01   0.129716E-01  -0.818260E-06   0.139034E-02  -0.818260E-06   0.135872E-06
    27   0.100680E+04   0.177020E+01   0.135233E-02   0.177020E+01   0.148060E-01  -0.814577E-06   0.135233E-02  -0.814577E-06   0.136423E-06
    28   0.102261E+04   0.181357E+01   0.131563E-02   0.181357E+01   0.167972E-01  -0.678710E-06   0.131563E-02  -0.678710E-06   0.136885E-06
    29   0.103864E+04   0.185192E+01   0.128046E-02   0.185192E+01   0.189719E-01  -0.456448E-06   0.128046E-02  -0.456448E-06   0.137260E-06
    30   0.105507E+04   0.187867E+01   0.124707E-02   0.187867E+01   0.213586E-01  -0.224607E-06   0.124707E-02  -0.224607E-06   0.137549E-06
    31   0.107131E+04   0.190454E+01   0.121532E-02   0.190454E+01   0.239527E-01  -0.923912E-07   0.121532E-02  -0.923912E-07   0.137762E-06
    32   0.108815E+04   0.192437E+01   0.118499E-02   0.192437E+01   0.267694E-01  -0.144507E-06   0.118499E-02  -0.144507E-06   0.137911E-06
    33   0.110507E+04   0.193657E+01   0.115590E-02   0.193657E+01   0.297690E-01  -0.335274E-06   0.115590E-02  -0.335274E-06   0.138000E-06
    34   0.112206E+04   0.194217E+01   0.112786E-02   0.194217E+01   0.329779E-01  -0.578850E-06   0.112786E-02  -0.578850E-06   0.138032E-06
    35   0.113968E+04   0.193212E+01   0.110066E-02   0.193212E+01   0.364031E-01  -0.759111E-06   0.110066E-02  -0.759111E-06   0.138010E-06
    36   0.115704E+04   0.191678E+01   0.107420E-02   0.191678E+01   0.400734E-01  -0.781777E-06   0.107420E-02  -0.781777E-06   0.137939E-06
    37   0.117465E+04   0.189025E+01   0.104886E-02   0.189025E+01   0.440136E-01  -0.670213E-06   0.104886E-02  -0.670213E-06   0.137822E-06
    38   0.119264E+04   0.185443E+01   0.102500E-02   0.185443E+01   0.482112E-01  -0.479727E-06   0.102500E-02  -0.479727E-06   0.137663E-06
    39   0.121090E+04   0.180914E+01   0.100240E-02   0.180914E+01   0.526558E-01  -0.275759E-06   0.100240E-02  -0.275759E-06   0.137463E-06
    40   0.122935E+04   0.175265E+01   0.980693E-03   0.175265E+01   0.573403E-01  -0.126281E-06   0.980693E-03  -0.126281E-06   0.137225E-06
    41   0.124791E+04   0.168377E+01   0.959581E-03   0.168377E+01   0.622618E-01  -0.816962E-07   0.959581E-03  -0.816962E-07   0.136950E-06
    42   0.126656E+04   0.160349E+01   0.939015E-03   0.160349E+01   0.674332E-01  -0.122125E-06   0.939015E-03  -0.122125E-06   0.136642E-06
    43   0.128534E+04   0.151293E+01   0.919010E-03   0.151293E+01   0.728713E-01  -0.210118E-06   0.919010E-03  -0.210118E-06   0.136302E-06
    44   0.130428E+04   0.141162E+01   0.899580E-03   0.141162E+01   0.785908E-01  -0.308226E-06   0.899580E-03  -0.308226E-06   0.135932E-06
    45   0.132345E+04   0.129876E+01   0.880739E-03   0.129876E+01   0.846034E-01  -0.379000E-06   0.880739E-03  -0.379000E-06   0.135536E-06
    46   0.134283E+04   0.117399E+01   0.862494E-03   0.117399E+01   0.909164E-01  -0.395920E-06   0.862494E-03  -0.395920E-06   0.135115E-06
    47   0.136239E+04   0.103677E+01   0.844822E-03   0.103677E+01   0.975300E-01  -0.376183E-06   0.844822E-03  -0.376183E-06   0.134672E-06
    48   0.138210E+04   0.886519E+00   0.827695E-03   0.886519E+00   0.104436E+00  -0.347915E-06   0.827695E-03  -0.347915E-06   0.134207E-06
    49   0.140196E+04   0.722702E+00   0.811082E-03   0.722702E+00   0.111625E+00  -0.339243E-06   0.811082E-03  -0.339243E-06   0.133723E-06
    50   0.142202E+04   0.544937E+00   0.794954E-03   0.544937E+00   0.119100E+00  -0.378293E-06   0.794954E-03  -0.378293E-06   0.133221E-06
    51   0.144233E+04   0.353150E+00   0.779290E-03   0.353150E+00   0.126863E+00  -0.482703E-06   0.779290E-03  -0.482703E-06   0.132702E-06
    52   0.146285E+04   0.148289E+00   0.764104E-03   0.148289E+00   0.134920E+00  -0.628160E-06   0.764104E-03  -0.628160E-06   0.132169E-06
    53   0.148350E+04  -0.686475E-01   0.749418E-03  -0.686475E-01   0.143272E+00  -0.779861E-06   0.749418E-03  -0.779861E-06   0.131620E-06
    54   0.150427E+04  -0.297522E+00   0.735253E-03  -0.297522E+00   0.151921E+00  -0.903005E-06   0.735253E-03  -0.903005E-06   0.131059E-06
    55   0.152514E+04  -0.538568E+00   0.721630E-03  -0.538568E+00   0.160871E+00  -0.962790E-06   0.721630E-03  -0.962790E-06   0.130485E-06
    56   0.154624E+04  -0.792658E+00   0.708559E-03  -0.792658E+00   0.170120E+00  -0.935226E-06   0.708559E-03  -0.935226E-06   0.129900E-06
    57   0.156766E+04  -0.106068E+01   0.695992E-03  -0.106068E+01   0.179663E+00  -0.839579E-06   0.695992E-03  -0.839579E-06   0.129304E-06
    58   0.158936E+04  -0.134283E+01   0.683868E-03  -0.134283E+01   0.189500E+00  -0.705928E-06   0.683868E-03  -0.705928E-06   0.128698E-06
    59   0.161125E+04  -0.163903E+01   0.672127E-03  -0.163903E+01   0.199629E+00  -0.564349E-06   0.672127E-03  -0.564349E-06   0.128083E-06
    60   0.163332E+04  -0.194879E+01   0.660707E-03  -0.194879E+01   0.210043E+00  -0.444923E-06   0.660707E-03  -0.444923E-06   0.127458E-06
    61   0.165556E+04  -0.227163E+01   0.649554E-03  -0.227163E+01   0.220734E+00  -0.372062E-06   0.649554E-03  -0.372062E-06   0.126825E-06
    62   0.167799E+04  -0.260755E+01   0.638642E-03  -0.260755E+01   0.231700E+00  -0.347530E-06   0.638642E-03  -0.347530E-06   0.126184E-06
    63   0.170062E+04  -0.295668E+01   0.627949E-03  -0.295668E+01   0.242937E+00  -0.367424E-06   0.627949E-03  -0.367424E-06   0.125537E-06
    64   0.172345E+04  -0.331913E+01   0.617456E-03  -0.331913E+01   0.254444E+00  -0.427842E-06   0.617456E-03  -0.427842E-06   0.124885E-06
    65   0.174653E+04  -0.369510E+01   0.607142E-03  -0.369510E+01   0.266220E+00  -0.524883E-06   0.607142E-03  -0.524883E-06   0.124227E-06
    66   0.176987E+04  -0.408478E+01   0.596998E-03  -0.408478E+01   0.278257E+00  -0.652176E-06   0.596998E-03  -0.652176E-06   0.123567E-06
    67   0.179346E+04  -0.448764E+01   0.587055E-03  -0.448764E+01   0.290550E+00  -0.793485E-06   0.587055E-03  -0.793485E-06   0.122903E-06
    68   0.181727E+04  -0.490297E+01   0.577356E-03  -0.490297E+01   0.303088E+00  -0.930105E-06   0.577356E-03  -0.930105E-06   0.122236E-06
    69   0.184125E+04  -0.533007E+01   0.567945E-03  -0.533007E+01   0.315863E+00  -0.104333E-05   0.567945E-03  -0.104333E-05   0.121568E-06
    70   0.186537E+04  -0.576845E+01   0.558864E-03  -0.576845E+01   0.328869E+00  -0.111446E-05   0.558864E-03  -0.111446E-05   0.120898E-06
    71   0.188961E+04  -0.621792E+01   0.550144E-03  -0.621792E+01   0.342101E+00  -0.113016E-05   0.550144E-03  -0.113016E-05   0.120226E-06
    72   0.191408E+04  -0.667940E+01   0.541760E-03  -0.667940E+01   0.355555E+00  -0.109869E-05   0.541760E-03  -0.109869E-05   0.119553E-06
    73   0.193889E+04  -0.715383E+01   0.533678E-03  -0.715383E+01   0.369227E+00  -0.103367E-05   0.533678E-03  -0.103367E-05   0.118879E-06
    74   0.196405E+04  -0.764111E+01   0.525862E-03  -0.764111E+01   0.383103E+00  -0.948706E-06   0.525862E-03  -0.948706E-06   0.118204E-06
    75   0.198958E+04  -0.814080E+01   0.518274E-03  -0.814080E+01   0.397174E+00  -0.857439E-06   0.518274E-03  -0.857439E-06   0.117528E-06
    76   0.201541E+04  -0.865235E+01   0.510883E-03  -0.865235E+01   0.411423E+00  -0.772030E-06   0.510883E-03  -0.772030E-06   0.116850E-06
    77   0.204143E+04  -0.917432E+01   0.503664E-03  -0.917432E+01   0.425841E+00  -0.698816E-06   0.503664E-03  -0.698816E-06   0.116172E-06
    78   0.206762E+04  -0.970623E+01   0.496593E-03  -0.970623E+01   0.440415E+00  -0.642675E-06   0.496593E-03  -0.642675E-06   0.115493E-06
    79   0.209402E+04  -0.102479E+02   0.489650E-03  -0.102479E+02   0.455135E+00  -0.608487E-06   0.489650E-03  -0.608487E-06   0.114815E-06
    80   0.212066E+04  -0.107994E+02   0.482811E-03  -0.107994E+02   0.469987E+00  -0.601130E-06   0.482811E-03  -0.601130E-06   0.114137E-06
    81   0.214756E+04  -0.113604E+02   0.476061E-03  -0.113604E+02   0.484961E+00  -0.623381E-06   0.476061E-03  -0.623381E-06   0.113460E-06
    82   0.217473E+04  -0.119306E+02   0.469407E-03  -0.119306E+02   0.500048E+00  -0.669616E-06   0.469407E-03  -0.669616E-06   0.112784E-06
    83   0.220214E+04  -0.125096E+02   0.462861E-03  -0.125096E+02   0.515234E+00  -0.732109E-06   0.462861E-03  -0.732109E-06   0.112109E-06
    84   0.222980E+04  -0.130969E+02   0.456438E-03  -0.130969E+02   0.530510E+00  -0.803133E-06   0.456438E-03  -0.803133E-06   0.111436E-06
    85   0.225771E+04  -0.136922E+02   0.450149E-03  -0.136922E+02   0.545863E+00  -0.874962E-06   0.450149E-03  -0.874962E-06   0.110766E-06
    86   0.228584E+04  -0.142950E+02   0.444007E-03  -0.142950E+02   0.561285E+00  -0.941107E-06   0.444007E-03  -0.941107E-06   0.110097E-06
    87   0.231419E+04  -0.149049E+02   0.438010E-03  -0.149049E+02   0.576762E+00  -0.100001E-05   0.438010E-03  -0.100001E-05   0.109431E-06
    88   0.234271E+04  -0.155212E+02   0.432157E-03  -0.155212E+02   0.592280E+00  -0.105137E-05   0.432157E-03  -0.105137E-05   0.108767E-06
    89   0.237144E+04  -0.161435E+02   0.426445E-03  -0.161435E+02   0.607828E+00  -0.109487E-05   0.426445E-03  -0.109487E-05   0.108106E-06
    90   0.240036E+04  -0.167716E+02   0.420871E-03  -0.167716E+02   0.623386E+00  -0.113018E-05   0.420871E-03  -0.113018E-05   0.107448E-06
    91   0.242948E+04  -0.174050E+02   0.415432E-03  -0.174050E+02   0.638943E+00  -0.115715E-05   0.415432E-03  -0.115715E-05   0.106792E-06
    92   0.245882E+04  -0.180433E+02   0.410124E-03  -0.180433E+02   0.654482E+00  -0.117629E-05   0.410124E-03  -0.117629E-05   0.106140E-06
    93   0.248837E+04  -0.186862E+02   0.404943E-03  -0.186862E+02   0.669989E+00  -0.118822E-05   0.404943E-03  -0.118822E-05   0.105490E-06
    94   0.251815E+04  -0.193333E+02   0.399885E-03  -0.193333E+02   0.685452E+00  -0.119360E-05   0.399885E-03  -0.119360E-05   0.104844E-06
    95   0.254815E+04  -0.199842E+02   0.394945E-03  -0.199842E+02   0.700855E+00  -0.119309E-05   0.394945E-03  -0.119309E-05   0.104201E-06
    96   0.257838E+04  -0.206384E+02   0.390119E-03  -0.206384E+02   0.716185E+00  -0.118732E-05   0.390119E-03  -0.118732E-05   0.103561E-06
    97   0.260883E+04  -0.212955E+02   0.385402E-03  -0.212955E+02   0.731426E+00  -0.117695E-05   0.385402E-03  -0.117695E-05   0.102924E-06
    98   0.263951E+04  -0.219550E+02   0.380791E-03  -0.219550E+02   0.746563E+00  -0.116262E-05   0.380791E-03  -0.116262E-05   0.102291E-06
    99   0.267041E+04  -0.226164E+02   0.376280E-03  -0.226164E+02   0.761581E+00  -0.114500E-05   0.376280E-03  -0.114500E-05   0.101660E-06
   100   0.270152E+04  -0.232793E+02   0.371865E-03  -0.232793E+02   0.776471E+00  -0.112471E-05   0.371865E-03  -0.112471E-05   0.101034E-06
   101   0.273286E+04  -0.239430E+02   0.367542E-03  -0.239430E+02   0.791216E+00  -0.110242E-05   0.367542E-03  -0.110242E-05   0.100411E-06
   102   0.276441E+04  -0.246074E+02   0.363307E-03  -0.246074E+02   0.805794E+00  -0.107877E-05   0.363307E-03  -0.107877E-05   0.997910E-07
   103   0.279617E+04  -0.252715E+02   0.359156E-03  -0.252715E+02   0.820206E+00  -0.105441E-05   0.359156E-03  -0.105441E-05   0.991749E-07
   104   0.282812E+04  -0.259350E+02   0.355083E-03  -0.259350E+02   0.834421E+00  -0.102998E-05   0.355083E-03  -0.102998E-05   0.985626E-07
   105   0.286028E+04  -0.265974E+02   0.351084E-03  -0.265974E+02   0.848434E+00  -0.100615E-05   0.351084E-03  -0.100615E-05   0.979539E-07
   106   0.289262E+04  -0.272579E+02   0.347156E-03  -0.272579E+02   0.862228E+00  -0.983551E-06   0.347156E-03  -0.983551E-06   0.973491E-07
   107   0.292515E+04  -0.279162E+02   0.343293E-03  -0.279162E+02   0.875797E+00  -0.962839E-06   0.343293E-03  -0.962839E-06   0.967480E-07
   108   0.295784E+04  -0.285715E+02   0.339492E-03  -0.285715E+02   0.889119E+00  -0.944660E-06   0.339492E-03  -0.944660E-06   0.961509E-07
   109   0.299071E+04  -0.292234E+02   0.335748E-03  -0.292234E+02   0.902186E+00  -0.929665E-06   0.335748E-03  -0.929665E-06   0.955577E-07
   110   0.302374E+04  -0.298713E+02   0.332057E-03  -0.298713E+02   0.914976E+00  -0.918501E-06   0.332057E-03  -0.918501E-06   0.949684E-07
   111   0.305692E+04  -0.305146E+02   0.328414E-03  -0.305146E+02   0.927481E+00  -0.911653E-06   0.328414E-03  -0.911653E-06   0.943833E-07
   112   0.309025E+04  -0.311528E+02   0.324820E-03  -0.311528E+02   0.939695E+00  -0.908949E-06   0.324820E-03  -0.908949E-06   0.938022E-07
   113   0.312373E+04  -0.317852E+02   0.321275E-03  -0.317852E+02   0.951595E+00  -0.910051E-06   0.321275E-03  -0.910051E-06   0.932252E-07
   114   0.315734E+04  -0.324114E+02   0.317778E-03  -0.324114E+02   0.963165E+00  -0.914622E-06   0.317778E-03  -0.914622E-06   0.926522E-07
   115   0.319108E+04  -0.330307E+02   0.314330E-03  -0.330307E+02   0.974406E+00  -0.922326E-06   0.314330E-03  -0.922326E-06   0.920833E-07
   116   0.322495E+04  -0.336427E+02   0.310930E-03  -0.336427E+02   0.985302E+00  -0.932826E-06   0.310930E-03  -0.932826E-06   0.915185E-07
   117   0.325894E+04  -0.342466E+02   0.307580E-03  -0.342466E+02   0.995832E+00  -0.945784E-06   0.307580E-03  -0.945784E-06   0.909577E-07
   118   0.329303E+04  -0.348420E+02   0.304278E-03  -0.348420E+02   0.100599E+01  -0.960864E-06   0.304278E-03  -0.960864E-06   0.904010E-07
   119   0.332722E+04  -0.354283E+02   0.301025E-03  -0.354283E+02   0.101577E+01  -0.977728E-06   0.301025E-03  -0.977728E-06   0.898484E-07
   120   0.336151E+04  -0.360049E+02   0.297822E-03  -0.360049E+02   0.102516E+01  -0.996040E-06   0.297822E-03  -0.996040E-06   0.892998E-07
   121   0.339588E+04  -0.365712E+02   0.294668E-03  -0.365712E+02   0.103415E+01  -0.101546E-05   0.294668E-03  -0.101546E-05   0.887552E-07
   122   0.343033E+04  -0.371268E+02   0.291563E-03  -0.371268E+02   0.104272E+01  -0.103566E-05   0.291563E-03  -0.103566E-05   0.882147E-07
   123   0.346484E+04  -0.376711E+02   0.288508E-03  -0.376711E+02   0.105088E+01  -0.105629E-05   0.288508E-03  -0.105629E-05   0.876783E-07
   124   0.349942E+04  -0.382034E+02   0.285502E-03  -0.382034E+02   0.105859E+01  -0.107702E-05   0.285502E-03  -0.107702E-05   0.871460E-07
   125   0.353405E+04  -0.387233E+02   0.282546E-03  -0.387233E+02   0.106588E+01  -0.109752E-05   0.282546E-03  -0.109752E-05   0.866177E-07
   126   0.356872E+04  -0.392303E+02   0.279639E-03  -0.392303E+02   0.107271E+01  -0.111744E-05   0.279639E-03  -0.111744E-05   0.860934E-07
   127   0.360342E+04  -0.397237E+02   0.276783E-03  -0.397237E+02   0.107909E+01  -0.113645E-05   0.276783E-03  -0.113645E-05   0.855732E-07
   128   0.363814E+04  -0.402031E+02   0.273976E-03  -0.402031E+02   0.108501E+01  -0.115421E-05   0.273976E-03  -0.115421E-05   0.850571E-07
   129   0.367288E+04  -0.406680E+02   0.271219E-03  -0.406680E+02   0.109046E+01  -0.117038E-05   0.271219E-03  -0.117038E-05   0.845450E-07
   130   0.370763E+04  -0.411177E+02   0.268513E-03  -0.411177E+02   0.109543E+01  -0.118463E-05   0.268513E-03  -0.118463E-05   0.840370E-07
   131   0.374237E+04  -0.415518E+02   0.265856E-03  -0.415518E+02   0.109992E+01  -0.119670E-05   0.265856E-03  -0.119670E-05   0.835330E-07
   132   0.377711E+04  -0.419697E+02   0.263248E-03  -0.419697E+02   0.110393E+01  -0.120660E-05   0.263248E-03  -0.120660E-05   0.830330E-07
   133   0.381182E+04  -0.423711E+02   0.260688E-03  -0.423711E+02   0.110745E+01  -0.121443E-05   0.260688E-03  -0.121443E-05   0.825371E-07
   134   0.384651E+04  -0.427554E+02   0.258173E-03  -0.427554E+02   0.111048E+01  -0.122028E-05   0.258173E-03  -0.122028E-05   0.820451E-07
   135   0.388117E+04  -0.431223E+02   0.255703E-03  -0.431223E+02   0.111302E+01  -0.122426E-05   0.255703E-03  -0.122426E-05   0.815571E-07
   136   0.391578E+04  -0.434710E+02   0.253275E-03  -0.434710E+02   0.111506E+01  -0.122644E-05   0.253275E-03  -0.122644E-05   0.810729E-07
   137   0.395035E+04  -0.438012E+02   0.250888E-03  -0.438012E+02   0.111659E+01  -0.122694E-05   0.250888E-03  -0.122694E-05   0.805927E-07
   138   0.398486E+04  -0.441126E+02   0.248542E-03  -0.441126E+02   0.111764E+01  -0.122583E-05   0.248542E-03  -0.122583E-05   0.801163E-07
   139   0.401930E+04  -0.444046E+02   0.246234E-03  -0.444046E+02   0.111819E+01  -0.122323E-05   0.246234E-03  -0.122323E-05   0.796438E-07
   140   0.405367E+04  -0.446769E+02   0.243962E-03  -0.446769E+02   0.111823E+01  -0.121921E-05   0.243962E-03  -0.121921E-05   0.791751E-07
   141   0.408796E+04  -0.449291E+02   0.241726E-03  -0.449291E+02   0.111779E+01  -0.121388E-05   0.241726E-03  -0.121388E-05   0.787101E-07
   142   0.412216E+04  -0.451606E+02   0.239524E-03  -0.451606E+02   0.111685E+01  -0.120733E-05   0.239524E-03  -0.120733E-05   0.782489E-07
   143   0.415627E+04  -0.453713E+02   0.237355E-03  -0.453713E+02   0.111542E+01  -0.119966E-05   0.237355E-03  -0.119966E-05   0.777915E-07
   144   0.419026E+04  -0.455606E+02   0.235216E-03  -0.455606E+02   0.111351E+01  -0.119095E-05   0.235216E-03  -0.119095E-05   0.773377E-07
   145   0.422414E+04  -0.457280E+02   0.233107E-03  -0.457280E+02   0.111111E+01  -0.118131E-05   0.233107E-03  -0.118131E-05   0.768876E-07
   146   0.425788E+04  -0.458734E+02   0.231026E-03  -0.458734E+02   0.110823E+01  -0.117083E-05   0.231026E-03  -0.117083E-05   0.764411E-07
   147   0.429147E+04  -0.459961E+02   0.228971E-03  -0.459961E+02   0.110488E+01  -0.115959E-05   0.228971E-03  -0.115959E-05   0.759983E-07
   148   0.432490E+04  -0.460959E+02   0.226942E-03  -0.460959E+02   0.110107E+01  -0.114771E-05   0.226942E-03  -0.114771E-05   0.755590E-07
   149   0.435815E+04  -0.461723E+02   0.224935E-03  -0.461723E+02   0.109680E+01  -0.113527E-05   0.224935E-03  -0.113527E-05   0.751233E-07
   150   0.439121E+04  -0.462249E+02   0.222951E-03  -0.462249E+02   0.109207E+01  -0.112236E-05   0.222951E-03  -0.112236E-05   0.746911E-07
   151   0.442406E+04  -0.462534E+02   0.220988E-03  -0.462534E+02   0.108690E+01  -0.110908E-05   0.220988E-03  -0.110908E-05   0.742625E-07
   152   0.445671E+04  -0.462575E+02   0.219045E-03  -0.462575E+02   0.108130E+01  -0.109545E-05   0.219045E-03  -0.109545E-05   0.738373E-07
   153   0.448913E+04  -0.462369E+02   0.217123E-03  -0.462369E+02   0.107527E+01  -0.108149E-05   0.217123E-03  -0.108149E-05   0.734156E-07
   154   0.452133E+04  -0.461915E+02   0.215220E-03  -0.461915E+02   0.106884E+01  -0.106723E-05   0.215220E-03  -0.106723E-05   0.729973E-07
   155   0.455330E+04  -0.461208E+02   0.213338E-03  -0.461208E+02   0.106200E+01  -0.105269E-05   0.213338E-03  -0.105269E-05   0.725824E-07
   156   0.458505E+04  -0.460248E+02   0.211476E-03  -0.460248E+02   0.105478E+01  -0.103790E-05   0.211476E-03  -0.103790E-05   0.721709E-07
   157   0.461655E+04  -0.459032E+02   0.209633E-03  -0.459032E+02   0.104718E+01  -0.102288E-05   0.209633E-03  -0.102288E-05   0.717628E-07
   158   0.464782E+04  -0.457556E+02   0.207810E-03  -0.457556E+02   0.103922E+01  -0.100764E-05   0.207810E-03  -0.100764E-05   0.713581E-07
   159   0.467883E+04  -0.455819E+02   0.206007E-03  -0.455819E+02   0.103091E+01  -0.992213E-06   0.206007E-03  -0.992213E-06   0.709567E-07
   160   0.470958E+04  -0.453820E+02   0.204223E-03  -0.453820E+02   0.102227E+01  -0.976622E-06   0.204223E-03  -0.976622E-06   0.705585E-07
   161   0.474004E+04  -0.451555E+02   0.202458E-03  -0.451555E+02   0.101332E+01  -0.960888E-06   0.202458E-03  -0.960888E-06   0.701637E-07
   162   0.477022E+04  -0.449024E+02   0.200712E-03  -0.449024E+02   0.100406E+01  -0.945033E-06   0.200712E-03  -0.945033E-06   0.697721E-07
   163   0.480009E+04  -0.446222E+02   0.198986E-03  -0.446222E+02   0.994535E+00  -0.929081E-06   0.198986E-03  -0.929081E-06   0.693837E-07
   164   0.482964E+04  -0.443150E+02   0.197278E-03  -0.443150E+02   0.984740E+00  -0.913053E-06   0.197278E-03  -0.913053E-06   0.689986E-07
   165   0.485887E+04  -0.439806E+02   0.195589E-03  -0.439806E+02   0.974698E+00  -0.896973E-06   0.195589E-03  -0.896973E-06   0.686166E-07
   166   0.488776E+04  -0.436187E+02   0.193919E-03  -0.436187E+02   0.964431E+00  -0.880863E-06   0.193919E-03  -0.880863E-06   0.682378E-07
   167   0.491630E+04  -0.432293E+02   0.192267E-03  -0.432293E+02   0.953962E+00  -0.864745E-06   0.192267E-03  -0.864745E-06   0.678622E-07
   168   0.494448E+04  -0.428124E+02   0.190633E-03  -0.428124E+02   0.943313E+00  -0.848643E-06   0.190633E-03  -0.848643E-06   0.674896E-07
   169   0.497231E+04  -0.423679E+02   0.189018E-03  -0.423679E+02   0.932507E+00  -0.832578E-06   0.189018E-03  -0.832578E-06   0.671202E-07
   170   0.499976E+04  -0.418957E+02   0.187421E-03  -0.418957E+02   0.921559E+00  -0.816574E-06   0.187421E-03  -0.816574E-06   0.667539E-07
   171   0.502683E+04  -0.413957E+02   0.185841E-03  -0.413957E+02   0.910499E+00  -0.800653E-06   0.185841E-03  -0.800653E-06   0.663906E-07
   172   0.505352E+04  -0.408680E+02   0.184280E-03  -0.408680E+02   0.899349E+00  -0.784838E-06   0.184280E-03  -0.784838E-06   0.660303E-07
   173   0.507981E+04  -0.403124E+02   0.182736E-03  -0.403124E+02   0.888132E+00  -0.769151E-06   0.182736E-03  -0.769151E-06   0.656731E-07
   174   0.510569E+04  -0.397290E+02   0.181210E-03  -0.397290E+02   0.876871E+00  -0.753615E-06   0.181210E-03  -0.753615E-06   0.653188E-07
   175   0.513115E+04  -0.391179E+02   0.179701E-03  -0.391179E+02   0.865603E+00  -0.738252E-06   0.179701E-03  -0.738252E-06   0.649675E-07
   176   0.515620E+04  -0.384790E+02   0.178210E-03  -0.384790E+02   0.854343E+00  -0.723080E-06   0.178210E-03  -0.723080E-06   0.646191E-07
   177   0.518081E+04  -0.378123E+02   0.176736E-03  -0.378123E+02   0.843128E+00  -0.708093E-06   0.176736E-03  -0.708093E-06   0.642737E-07
   178   0.520497E+04  -0.371179E+02   0.175278E-03  -0.371179E+02   0.831981E+00  -0.693282E-06   0.175278E-03  -0.693282E-06   0.639311E-07
