#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.102506E+04   0.260559E+01   0.303181E-02   0.260559E+01   0.309676E-01  -0.122294E-04   0.303181E-02  -0.122294E-04   0.497745E-07
     3   0.971318E+03   0.292768E+01   0.303870E-02   0.292768E+01   0.397420E-01  -0.131052E-04   0.303870E-02  -0.131052E-04   0.605580E-07
     4   0.918869E+03   0.275080E+01   0.296625E-02   0.275080E+01   0.344531E-01  -0.110689E-04   0.296625E-02  -0.110689E-04   0.697654E-07
     5   0.879514E+03   0.234608E+01   0.286492E-02   0.234608E+01   0.229961E-01  -0.751119E-05   0.286492E-02  -0.751119E-05   0.777522E-07
     6   0.852561E+03   0.189200E+01   0.275604E-02   0.189200E+01   0.128610E-01  -0.360957E-05   0.275604E-02  -0.360957E-05   0.847244E-07
     7   0.835370E+03   0.148803E+01   0.264971E-02   0.148803E+01   0.694496E-02  -0.262712E-06   0.264971E-02  -0.262712E-06   0.908644E-07
     8   0.824984E+03   0.117779E+01   0.254634E-02   0.117779E+01   0.446995E-02   0.195967E-05   0.254634E-02   0.195967E-05   0.962989E-07
     9   0.820018E+03   0.967111E+00   0.244467E-02   0.967111E+00   0.357370E-02   0.285970E-05   0.244467E-02   0.285970E-05   0.101136E-06
    10   0.819012E+03   0.848202E+00   0.234668E-02   0.848202E+00   0.303586E-02   0.262532E-05   0.234668E-02   0.262532E-05   0.105446E-06
    11   0.820566E+03   0.803710E+00   0.225674E-02   0.803710E+00   0.254925E-02   0.170576E-05   0.225674E-02   0.170576E-05   0.109321E-06
    12   0.825409E+03   0.814663E+00   0.217395E-02   0.814663E+00   0.222794E-02   0.568770E-06   0.217395E-02   0.568770E-06   0.112764E-06
    13   0.831626E+03   0.857197E+00   0.210094E-02   0.857197E+00   0.214164E-02  -0.458115E-06   0.210094E-02  -0.458115E-06   0.115877E-06
    14   0.839038E+03   0.910354E+00   0.203034E-02   0.910354E+00   0.222725E-02  -0.118225E-05   0.203034E-02  -0.118225E-05   0.118650E-06
    15   0.846596E+03   0.966913E+00   0.196264E-02   0.966913E+00   0.240431E-02  -0.147760E-05   0.196264E-02  -0.147760E-05   0.121155E-06
    16   0.856068E+03   0.102832E+01   0.189521E-02   0.102832E+01   0.265565E-02  -0.128666E-05   0.189521E-02  -0.128666E-05   0.123397E-06
    17   0.867304E+03   0.109200E+01   0.182974E-02   0.109200E+01   0.302426E-02  -0.787182E-06   0.182974E-02  -0.787182E-06   0.125402E-06
    18   0.879162E+03   0.115669E+01   0.176879E-02   0.115669E+01   0.355328E-02  -0.217228E-06   0.176879E-02  -0.217228E-06   0.127205E-06
    19   0.892395E+03   0.122551E+01   0.171214E-02   0.122551E+01   0.424518E-02   0.179287E-06   0.171214E-02   0.179287E-06   0.128816E-06
    20   0.905388E+03   0.129340E+01   0.165896E-02   0.129340E+01   0.507653E-02   0.228571E-06   0.165896E-02   0.228571E-06   0.130242E-06
