 a		phi		phidot		fde
    0.136718E-06    0.100000E+02    0.233915E-10    0.305734E-13
    0.137160E-06    0.100000E+02    0.237189E-10    0.309702E-13
    0.137603E-06    0.100000E+02    0.240487E-10    0.313722E-13
    0.138047E-06    0.100000E+02    0.243812E-10    0.317794E-13
    0.138493E-06    0.100000E+02    0.247163E-10    0.321918E-13
    0.138940E-06    0.100000E+02    0.250540E-10    0.326097E-13
    0.139389E-06    0.100000E+02    0.253943E-10    0.330329E-13
    0.139839E-06    0.100000E+02    0.257373E-10    0.334616E-13
    0.140291E-06    0.100000E+02    0.260831E-10    0.338959E-13
    0.140744E-06    0.100000E+02    0.264316E-10    0.343359E-13
    0.141198E-06    0.100000E+02    0.267828E-10    0.347815E-13
    0.141654E-06    0.100000E+02    0.271369E-10    0.352330E-13
    0.142112E-06    0.100000E+02    0.274938E-10    0.356902E-13
    0.142571E-06    0.100000E+02    0.278536E-10    0.361535E-13
    0.143031E-06    0.100000E+02    0.282163E-10    0.366227E-13
    0.143493E-06    0.100000E+02    0.285819E-10    0.370980E-13
    0.143957E-06    0.100000E+02    0.289505E-10    0.375795E-13
    0.144422E-06    0.100000E+02    0.293220E-10    0.380673E-13
    0.144888E-06    0.100000E+02    0.296966E-10    0.385614E-13
    0.145356E-06    0.100000E+02    0.300743E-10    0.390619E-13
    0.145825E-06    0.100000E+02    0.304551E-10    0.395688E-13
    0.146296E-06    0.100000E+02    0.308390E-10    0.400824E-13
    0.146769E-06    0.100000E+02    0.312261E-10    0.406026E-13
    0.147243E-06    0.100000E+02    0.316163E-10    0.411296E-13
    0.147718E-06    0.100000E+02    0.320099E-10    0.416634E-13
    0.148195E-06    0.100000E+02    0.324066E-10    0.422042E-13
    0.148674E-06    0.100000E+02    0.328067E-10    0.427520E-13
    0.149154E-06    0.100000E+02    0.332101E-10    0.433068E-13
    0.149636E-06    0.100000E+02    0.336169E-10    0.438689E-13
    0.150119E-06    0.100000E+02    0.340272E-10    0.444383E-13
    0.150604E-06    0.100000E+02    0.344408E-10    0.450151E-13
    0.151090E-06    0.100000E+02    0.348580E-10    0.455993E-13
    0.151578E-06    0.100000E+02    0.352787E-10    0.461911E-13
    0.152068E-06    0.100000E+02    0.357029E-10    0.467907E-13
    0.152559E-06    0.100000E+02    0.361307E-10    0.473980E-13
    0.153051E-06    0.100000E+02    0.365622E-10    0.480131E-13
    0.153546E-06    0.100000E+02    0.369974E-10    0.486363E-13
    0.154041E-06    0.100000E+02    0.374362E-10    0.492675E-13
    0.154539E-06    0.100000E+02    0.378789E-10    0.499070E-13
    0.155038E-06    0.100000E+02    0.383253E-10    0.505547E-13
    0.155539E-06    0.100000E+02    0.387755E-10    0.512109E-13
    0.156041E-06    0.100000E+02    0.392297E-10    0.518755E-13
    0.156545E-06    0.100000E+02    0.396877E-10    0.525488E-13
    0.157050E-06    0.100000E+02    0.401497E-10    0.532309E-13
    0.157558E-06    0.100000E+02    0.406157E-10    0.539217E-13
    0.158066E-06    0.100000E+02    0.410858E-10    0.546216E-13
    0.158577E-06    0.100000E+02    0.415599E-10    0.553305E-13
    0.159089E-06    0.100000E+02    0.420382E-10    0.560486E-13
    0.159603E-06    0.100000E+02    0.425206E-10    0.567761E-13
    0.160118E-06    0.100000E+02    0.430073E-10    0.575130E-13
    0.160635E-06    0.100000E+02    0.434982E-10    0.582594E-13
    0.161154E-06    0.100000E+02    0.439934E-10    0.590156E-13
    0.161675E-06    0.100000E+02    0.444929E-10    0.597815E-13
    0.162197E-06    0.100000E+02    0.449969E-10    0.605574E-13
    0.162721E-06    0.100000E+02    0.455053E-10    0.613434E-13
    0.163246E-06    0.100000E+02    0.460181E-10    0.621396E-13
    0.163773E-06    0.100000E+02    0.465355E-10    0.629461E-13
    0.164302E-06    0.100000E+02    0.470575E-10    0.637630E-13
    0.164833E-06    0.100000E+02    0.475841E-10    0.645906E-13
    0.165365E-06    0.100000E+02    0.481154E-10    0.654289E-13
    0.165899E-06    0.100000E+02    0.486514E-10    0.662781E-13
    0.166435E-06    0.100000E+02    0.491922E-10    0.671383E-13
    0.166972E-06    0.100000E+02    0.497377E-10    0.680097E-13
    0.167512E-06    0.100000E+02    0.502882E-10    0.688924E-13
    0.168053E-06    0.100000E+02    0.508436E-10    0.697865E-13
    0.168595E-06    0.100000E+02    0.514039E-10    0.706923E-13
    0.169140E-06    0.100000E+02    0.519693E-10    0.716098E-13
    0.169686E-06    0.100000E+02    0.525397E-10    0.725392E-13
    0.170234E-06    0.100000E+02    0.531153E-10    0.734807E-13
    0.170784E-06    0.100000E+02    0.536960E-10    0.744343E-13
    0.171335E-06    0.100000E+02    0.542820E-10    0.754004E-13
    0.171889E-06    0.100000E+02    0.548732E-10    0.763790E-13
    0.172444E-06    0.100000E+02    0.554698E-10    0.773703E-13
