 a		phi		phidot		fde
    0.135402E-06    0.156033E+01   -0.280122E-15    0.292892E-16
    0.135840E-06    0.156033E+01   -0.284118E-15    0.296694E-16
    0.136278E-06    0.156033E+01   -0.288145E-15    0.300545E-16
    0.136718E-06    0.156033E+01   -0.292203E-15    0.304446E-16
    0.137160E-06    0.156033E+01   -0.296292E-15    0.308397E-16
    0.137603E-06    0.156033E+01   -0.300413E-15    0.312400E-16
    0.138047E-06    0.156033E+01   -0.304566E-15    0.316454E-16
    0.138493E-06    0.156033E+01   -0.308752E-15    0.320562E-16
    0.138940E-06    0.156033E+01   -0.312970E-15    0.324722E-16
    0.139389E-06    0.156033E+01   -0.317222E-15    0.328937E-16
    0.139839E-06    0.156033E+01   -0.321507E-15    0.333206E-16
    0.140291E-06    0.156033E+01   -0.325826E-15    0.337531E-16
    0.140744E-06    0.156033E+01   -0.330179E-15    0.341912E-16
    0.141198E-06    0.156033E+01   -0.334567E-15    0.346350E-16
    0.141654E-06    0.156033E+01   -0.338990E-15    0.350845E-16
    0.142112E-06    0.156033E+01   -0.343448E-15    0.355398E-16
    0.142571E-06    0.156033E+01   -0.347942E-15    0.360011E-16
    0.143031E-06    0.156033E+01   -0.352473E-15    0.364684E-16
    0.143493E-06    0.156033E+01   -0.357040E-15    0.369417E-16
    0.143957E-06    0.156033E+01   -0.361644E-15    0.374212E-16
    0.144422E-06    0.156033E+01   -0.366286E-15    0.379069E-16
    0.144888E-06    0.156033E+01   -0.370966E-15    0.383989E-16
    0.145356E-06    0.156033E+01   -0.375684E-15    0.388972E-16
    0.145825E-06    0.156033E+01   -0.380440E-15    0.394021E-16
    0.146296E-06    0.156033E+01   -0.385236E-15    0.399135E-16
    0.146769E-06    0.156033E+01   -0.390071E-15    0.404315E-16
    0.147243E-06    0.156033E+01   -0.394946E-15    0.409563E-16
    0.147718E-06    0.156033E+01   -0.399862E-15    0.414879E-16
    0.148195E-06    0.156033E+01   -0.404819E-15    0.420263E-16
    0.148674E-06    0.156033E+01   -0.409816E-15    0.425718E-16
    0.149154E-06    0.156033E+01   -0.414856E-15    0.431243E-16
    0.149636E-06    0.156033E+01   -0.419938E-15    0.436841E-16
    0.150119E-06    0.156033E+01   -0.425062E-15    0.442510E-16
    0.150604E-06    0.156033E+01   -0.430229E-15    0.448254E-16
    0.151090E-06    0.156033E+01   -0.435440E-15    0.454072E-16
    0.151578E-06    0.156033E+01   -0.440695E-15    0.459965E-16
    0.152068E-06    0.156033E+01   -0.445995E-15    0.465935E-16
    0.152559E-06    0.156033E+01   -0.451339E-15    0.471982E-16
    0.153051E-06    0.156033E+01   -0.456729E-15    0.478108E-16
    0.153546E-06    0.156033E+01   -0.462165E-15    0.484313E-16
    0.154041E-06    0.156033E+01   -0.467648E-15    0.490599E-16
    0.154539E-06    0.156033E+01   -0.473177E-15    0.496967E-16
    0.155038E-06    0.156033E+01   -0.478753E-15    0.503417E-16
    0.155539E-06    0.156033E+01   -0.484378E-15    0.509951E-16
    0.156041E-06    0.156033E+01   -0.490051E-15    0.516569E-16
    0.156545E-06    0.156033E+01   -0.495773E-15    0.523274E-16
    0.157050E-06    0.156033E+01   -0.501544E-15    0.530065E-16
    0.157558E-06    0.156033E+01   -0.507365E-15    0.536945E-16
    0.158066E-06    0.156033E+01   -0.513237E-15    0.543914E-16
    0.158577E-06    0.156033E+01   -0.519160E-15    0.550973E-16
    0.159089E-06    0.156033E+01   -0.525135E-15    0.558124E-16
