 a		phi		phidot		fde
    0.100323E-06    0.100000E-04   -0.651203E-31    0.525890E-36
    0.100647E-06    0.100000E-04   -0.130455E-30    0.532716E-36
    0.100972E-06    0.100000E-04   -0.196009E-30    0.539630E-36
    0.101298E-06    0.100000E-04   -0.261786E-30    0.546634E-36
    0.101625E-06    0.100000E-04   -0.327793E-30    0.553729E-36
    0.101953E-06    0.100000E-04   -0.394033E-30    0.560917E-36
    0.102283E-06    0.100000E-04   -0.460511E-30    0.568197E-36
    0.102613E-06    0.100000E-04   -0.527233E-30    0.575572E-36
    0.102944E-06    0.100000E-04   -0.594204E-30    0.583042E-36
    0.103277E-06    0.100000E-04   -0.661427E-30    0.590610E-36
    0.103610E-06    0.100000E-04   -0.728909E-30    0.598276E-36
    0.103945E-06    0.100000E-04   -0.796655E-30    0.606041E-36
    0.104281E-06    0.100000E-04   -0.864669E-30    0.613907E-36
    0.104617E-06    0.100000E-04   -0.932957E-30    0.621876E-36
    0.104955E-06    0.100000E-04   -0.100152E-29    0.629947E-36
    0.105294E-06    0.100000E-04   -0.107037E-29    0.638124E-36
    0.105634E-06    0.100000E-04   -0.113951E-29    0.646406E-36
    0.105975E-06    0.100000E-04   -0.120895E-29    0.654796E-36
    0.106318E-06    0.100000E-04   -0.127868E-29    0.663295E-36
    0.106661E-06    0.100000E-04   -0.134872E-29    0.671904E-36
    0.107005E-06    0.100000E-04   -0.141907E-29    0.680625E-36
    0.107351E-06    0.100000E-04   -0.148973E-29    0.689459E-36
    0.107698E-06    0.100000E-04   -0.156072E-29    0.698408E-36
    0.108046E-06    0.100000E-04   -0.163203E-29    0.707473E-36
    0.108394E-06    0.100000E-04   -0.170368E-29    0.716656E-36
    0.108744E-06    0.100000E-04   -0.177566E-29    0.725957E-36
    0.109096E-06    0.100000E-04   -0.184799E-29    0.735380E-36
    0.109448E-06    0.100000E-04   -0.192066E-29    0.744925E-36
    0.109801E-06    0.100000E-04   -0.199369E-29    0.754593E-36
    0.110156E-06    0.100000E-04   -0.206708E-29    0.764388E-36
    0.110512E-06    0.100000E-04   -0.214084E-29    0.774309E-36
    0.110869E-06    0.100000E-04   -0.221497E-29    0.784359E-36
    0.111227E-06    0.100000E-04   -0.228947E-29    0.794540E-36
    0.111586E-06    0.100000E-04   -0.236436E-29    0.804852E-36
    0.111946E-06    0.100000E-04   -0.243964E-29    0.815299E-36
    0.112308E-06    0.100000E-04   -0.251532E-29    0.825881E-36
    0.112671E-06    0.100000E-04   -0.259139E-29    0.836600E-36
    0.113034E-06    0.100000E-04   -0.266788E-29    0.847459E-36
    0.113399E-06    0.100000E-04   -0.274477E-29    0.858458E-36
    0.113766E-06    0.100000E-04   -0.282209E-29    0.869601E-36
    0.114133E-06    0.100000E-04   -0.289983E-29    0.880887E-36
    0.114502E-06    0.100000E-04   -0.297801E-29    0.892321E-36
    0.114871E-06    0.100000E-04   -0.305662E-29    0.903903E-36
    0.115242E-06    0.100000E-04   -0.313568E-29    0.915635E-36
    0.115615E-06    0.100000E-04   -0.321519E-29    0.927519E-36
    0.115988E-06    0.100000E-04   -0.329516E-29    0.939558E-36
    0.116363E-06    0.100000E-04   -0.337559E-29    0.951753E-36
    0.116738E-06    0.100000E-04   -0.345649E-29    0.964106E-36
    0.117115E-06    0.100000E-04   -0.353787E-29    0.976619E-36
    0.117494E-06    0.100000E-04   -0.361973E-29    0.989295E-36
    0.117873E-06    0.100000E-04   -0.370208E-29    0.100214E-35
    0.118254E-06    0.100000E-04   -0.378494E-29    0.101514E-35
    0.118636E-06    0.100000E-04   -0.386829E-29    0.102832E-35
    0.119019E-06    0.100000E-04   -0.395215E-29    0.104167E-35
    0.119403E-06    0.100000E-04   -0.403654E-29    0.105519E-35
    0.119789E-06    0.100000E-04   -0.412144E-29    0.106888E-35
    0.120176E-06    0.100000E-04   -0.420688E-29    0.108275E-35
    0.120564E-06    0.100000E-04   -0.429286E-29    0.109681E-35
    0.120953E-06    0.100000E-04   -0.437939E-29    0.111104E-35
    0.121344E-06    0.100000E-04   -0.446646E-29    0.112546E-35
    0.121735E-06    0.100000E-04   -0.455410E-29    0.114007E-35
    0.122129E-06    0.100000E-04   -0.464230E-29    0.115487E-35
    0.122523E-06    0.100000E-04   -0.473108E-29    0.116986E-35
    0.122919E-06    0.100000E-04   -0.482044E-29    0.118504E-35
    0.123316E-06    0.100000E-04   -0.491039E-29    0.120042E-35
    0.123714E-06    0.100000E-04   -0.500094E-29    0.121600E-35
    0.124113E-06    0.100000E-04   -0.509209E-29    0.123179E-35
    0.124514E-06    0.100000E-04   -0.518386E-29    0.124777E-35
    0.124916E-06    0.100000E-04   -0.527624E-29    0.126397E-35
    0.125320E-06    0.100000E-04   -0.536926E-29    0.128038E-35
    0.125724E-06    0.100000E-04   -0.546291E-29    0.129699E-35
    0.126131E-06    0.100000E-04   -0.555720E-29    0.131383E-35
    0.126538E-06    0.100000E-04   -0.565214E-29    0.133088E-35
    0.126946E-06    0.100000E-04   -0.574775E-29    0.134815E-35
    0.127356E-06    0.100000E-04   -0.584402E-29    0.136565E-35
    0.127768E-06    0.100000E-04   -0.594097E-29    0.138338E-35
    0.128180E-06    0.100000E-04   -0.603860E-29    0.140133E-35
    0.128594E-06    0.100000E-04   -0.613692E-29    0.141952E-35
    0.129010E-06    0.100000E-04   -0.623595E-29    0.143794E-35
    0.129426E-06    0.100000E-04   -0.633568E-29    0.145661E-35
    0.129844E-06    0.100000E-04   -0.643614E-29    0.147551E-35
    0.130264E-06    0.100000E-04   -0.653731E-29    0.149466E-35
    0.130684E-06    0.100000E-04   -0.663923E-29    0.151406E-35
    0.131106E-06    0.100000E-04   -0.674189E-29    0.153372E-35
    0.131530E-06    0.100000E-04   -0.684530E-29    0.155362E-35
    0.131954E-06    0.100000E-04   -0.694947E-29    0.157379E-35
    0.132381E-06    0.100000E-04   -0.705441E-29    0.159421E-35
    0.132808E-06    0.100000E-04   -0.716013E-29    0.161491E-35
    0.133237E-06    0.100000E-04   -0.726664E-29    0.163587E-35
    0.133667E-06    0.100000E-04   -0.737395E-29    0.165710E-35
    0.134099E-06    0.100000E-04   -0.748207E-29    0.167861E-35
    0.134532E-06    0.100000E-04   -0.759100E-29    0.170039E-35
    0.134967E-06    0.100000E-04   -0.770076E-29    0.172246E-35
    0.135402E-06    0.100000E-04   -0.781135E-29    0.174482E-35
    0.135840E-06    0.100000E-04   -0.792279E-29    0.176746E-35
    0.136278E-06    0.100000E-04   -0.803508E-29    0.179040E-35
    0.136718E-06    0.100000E-04   -0.814824E-29    0.181364E-35
    0.137160E-06    0.100000E-04   -0.826227E-29    0.183718E-35
    0.137603E-06    0.100000E-04   -0.837719E-29    0.186103E-35
    0.138047E-06    0.100000E-04   -0.849300E-29    0.188518E-35
    0.138493E-06    0.100000E-04   -0.860971E-29    0.190965E-35
    0.138940E-06    0.100000E-04   -0.872734E-29    0.193443E-35
    0.139389E-06    0.100000E-04   -0.884590E-29    0.195954E-35
    0.139839E-06    0.100000E-04   -0.896539E-29    0.198498E-35
    0.140291E-06    0.100000E-04   -0.908583E-29    0.201074E-35
    0.140744E-06    0.100000E-04   -0.920722E-29    0.203684E-35
    0.141198E-06    0.100000E-04   -0.932958E-29    0.206327E-35
    0.141654E-06    0.100000E-04   -0.945292E-29    0.209005E-35
    0.142112E-06    0.100000E-04   -0.957724E-29    0.211718E-35
    0.142571E-06    0.100000E-04   -0.970257E-29    0.214466E-35
    0.143031E-06    0.100000E-04   -0.982891E-29    0.217249E-35
    0.143493E-06    0.100000E-04   -0.995627E-29    0.220069E-35
    0.143957E-06    0.100000E-04   -0.100847E-28    0.222925E-35
    0.144422E-06    0.100000E-04   -0.102141E-28    0.225819E-35
    0.144888E-06    0.100000E-04   -0.103446E-28    0.228750E-35
    0.145356E-06    0.100000E-04   -0.104761E-28    0.231719E-35
    0.145825E-06    0.100000E-04   -0.106088E-28    0.234726E-35
    0.146296E-06    0.100000E-04   -0.107425E-28    0.237773E-35
    0.146769E-06    0.100000E-04   -0.108774E-28    0.240859E-35
    0.147243E-06    0.100000E-04   -0.110133E-28    0.243985E-35
